temperature;wetness;batteryLevel;batteryValue;receivedAt;device;providerDeviceId
18.7;1.8;100;3354;2024-06-30T22:16:05.681156096Z;979;santorsola-wetsd-2
18.1;2;100;3354;2024-06-30T22:36:05.851336726Z;979;santorsola-wetsd-2
18.1;1.9;100;3354;2024-06-30T22:56:05.830279145Z;979;santorsola-wetsd-2
17.6;2.2;100;3356;2024-06-30T23:16:05.811388521Z;979;santorsola-wetsd-2
17.3;2.2;100;3358;2024-06-30T23:36:05.801918239Z;979;santorsola-wetsd-2
17.1;2.4;100;3356;2024-06-30T23:56:05.789011193Z;979;santorsola-wetsd-2
17;2.2;100;3356;2024-07-01T00:16:05.595049860Z;979;santorsola-wetsd-2
16.8;2.6;100;3354;2024-07-01T00:36:05.756243990Z;979;santorsola-wetsd-2
16.8;2.6;100;3358;2024-07-01T00:56:05.735068042Z;979;santorsola-wetsd-2
16.7;2.8;100;3354;2024-07-01T01:16:05.732152591Z;979;santorsola-wetsd-2
16.5;2.8;100;3351;2024-07-01T01:36:05.707420187Z;979;santorsola-wetsd-2
16.3;2.8;100;3354;2024-07-01T01:56:05.685957540Z;979;santorsola-wetsd-2
16.3;3;100;3354;2024-07-01T02:16:05.668158610Z;979;santorsola-wetsd-2
16.6;3;100;3354;2024-07-01T02:36:05.480224683Z;979;santorsola-wetsd-2
16.4;3;100;3354;2024-07-01T02:56:05.653109582Z;979;santorsola-wetsd-2
16.3;3;100;3351;2024-07-01T03:16:05.482389668Z;979;santorsola-wetsd-2
16.2;3.2;100;3351;2024-07-01T03:36:05.180835840Z;979;santorsola-wetsd-2
16.8;2.6;100;3354;2024-07-01T03:56:05.610128935Z;979;santorsola-wetsd-2
17.1;2.8;100;3356;2024-07-01T04:16:05.593592430Z;979;santorsola-wetsd-2
17.9;2.6;100;3356;2024-07-01T04:36:05.574448197Z;979;santorsola-wetsd-2
18.9;2.3;100;3358;2024-07-01T04:56:05.581084460Z;979;santorsola-wetsd-2
19.9;2.2;100;3358;2024-07-01T05:16:05.540185515Z;979;santorsola-wetsd-2
20.3;2.2;100;3362;2024-07-01T05:36:05.532962974Z;979;santorsola-wetsd-2
22.7;2.1;100;3367;2024-07-01T05:56:05.509635314Z;979;santorsola-wetsd-2
