protocolVersion;deviceId;photosyntheticallyActiveRadiation;batteryLevel;batteryValue;receivedAt;device;providerDeviceId
2;21456;0;100;3139;2024-06-30T22:17:50.631225260Z;982;santorsola-pard-2
2;21456;0;100;3142;2024-06-30T22:37:50.229888544Z;982;santorsola-pard-2
2;21456;0;100;3142;2024-06-30T22:57:50.979875387Z;982;santorsola-pard-2
2;21456;0;100;3142;2024-06-30T23:17:53.529485961Z;982;santorsola-pard-2
2;21456;0;100;3142;2024-06-30T23:37:52.344079472Z;982;santorsola-pard-2
2;21456;0;100;3144;2024-06-30T23:57:54.539424090Z;982;santorsola-pard-2
2;21456;0;100;3144;2024-07-01T00:17:50.206571288Z;982;santorsola-pard-2
2;21456;0;100;3144;2024-07-01T00:37:54.804378701Z;982;santorsola-pard-2
2;21456;0;100;3144;2024-07-01T00:57:53.515212493Z;982;santorsola-pard-2
2;21456;0;100;3146;2024-07-01T01:17:47.920331732Z;982;santorsola-pard-2
2;21456;0;100;3149;2024-07-01T01:37:55.049506253Z;982;santorsola-pard-2
2;21456;0;100;3149;2024-07-01T01:57:52.838569312Z;982;santorsola-pard-2
2;21456;0;100;3149;2024-07-01T02:37:51.698930350Z;982;santorsola-pard-2
2;21456;0;100;3149;2024-07-01T02:57:51.224693224Z;982;santorsola-pard-2
2;21456;1.8;100;3149;2024-07-01T03:17:52.195886345Z;982;santorsola-pard-2
2;21456;10.1;100;3149;2024-07-01T03:37:54.201053320Z;982;santorsola-pard-2
2;21456;24.7;100;3151;2024-07-01T03:57:53.990515584Z;982;santorsola-pard-2
2;21456;53.1;100;3149;2024-07-01T04:17:50.312859976Z;982;santorsola-pard-2
2;21456;72.3;100;3149;2024-07-01T04:37:53.594445764Z;982;santorsola-pard-2
2;21456;120.8;100;3154;2024-07-01T04:57:55.082964824Z;982;santorsola-pard-2
2;21456;143.7;100;3154;2024-07-01T05:17:51.920335543Z;982;santorsola-pard-2
2;21456;187.7;100;3154;2024-07-01T05:37:54.302842066Z;982;santorsola-pard-2
2;21456;249.9;100;3154;2024-07-01T05:57:53.367587020Z;982;santorsola-pard-2
2;21456;445.9;100;3154;2024-07-01T06:17:55.082462529Z;982;santorsola-pard-2
2;21456;559.4;100;3154;2024-07-01T06:37:51.727244395Z;982;santorsola-pard-2
2;21456;645.4;100;3156;2024-07-01T06:57:50.376555144Z;982;santorsola-pard-2
2;21456;878;100;3159;2024-07-01T07:17:52.902580662Z;982;santorsola-pard-2
2;21456;972.3;100;3156;2024-07-01T07:37:47.905448866Z;982;santorsola-pard-2
2;21456;632.6;100;3156;2024-07-01T07:57:49.717460227Z;982;santorsola-pard-2
2;21456;500.8;100;3154;2024-07-01T08:17:50.055477867Z;982;santorsola-pard-2
2;21456;658.3;100;3154;2024-07-01T08:37:53.333269072Z;982;santorsola-pard-2
2;21456;1365.1;100;3154;2024-07-01T08:57:50.766691818Z;982;santorsola-pard-2
2;21456;1362.3;100;3159;2024-07-01T09:17:47.843067534Z;982;santorsola-pard-2
2;21456;1533.5;100;3161;2024-07-01T09:37:53.639225023Z;982;santorsola-pard-2
2;21456;984.2;100;3161;2024-07-01T09:57:53.855025465Z;982;santorsola-pard-2
2;21456;529.2;100;3159;2024-07-01T10:17:49.557445051Z;982;santorsola-pard-2
2;21456;723.3;100;3159;2024-07-01T10:37:50.022496798Z;982;santorsola-pard-2
2;21456;574;100;3159;2024-07-01T10:58:01.010062509Z;982;santorsola-pard-2
2;21456;944.8;100;3164;2024-07-01T11:17:47.269938633Z;982;santorsola-pard-2
2;21456;938.4;100;3156;2024-07-01T11:37:54.552717727Z;982;santorsola-pard-2
2;21456;257.3;100;3154;2024-07-01T11:57:47.794451461Z;982;santorsola-pard-2
2;21456;423;100;3151;2024-07-01T12:17:49.252184092Z;982;santorsola-pard-2
2;21456;396.4;100;3149;2024-07-01T12:37:50.202461668Z;982;santorsola-pard-2
2;21456;607.9;100;3144;2024-07-01T12:57:52.260495001Z;982;santorsola-pard-2
2;21456;159.3;100;3144;2024-07-01T13:17:52.121163599Z;982;santorsola-pard-2
2;21456;287.5;100;3144;2024-07-01T13:37:52.408501440Z;982;santorsola-pard-2
2;21456;328.7;100;3144;2024-07-01T13:57:51.546903175Z;982;santorsola-pard-2
2;21456;283.8;100;3144;2024-07-01T14:17:49.187801568Z;982;santorsola-pard-2
2;21456;135.5;100;3142;2024-07-01T14:37:53.957247385Z;982;santorsola-pard-2
2;21456;94.3;100;3144;2024-07-01T14:57:52.226577643Z;982;santorsola-pard-2
2;21456;68.7;100;3146;2024-07-01T15:17:47.606773225Z;982;santorsola-pard-2
2;21456;34.8;100;3146;2024-07-01T15:37:52.908074237Z;982;santorsola-pard-2
2;21456;33;100;3146;2024-07-01T15:57:54.228665645Z;982;santorsola-pard-2
2;21456;46.7;100;3146;2024-07-01T16:17:51.447851305Z;982;santorsola-pard-2
2;21456;189.5;100;3149;2024-07-01T16:37:52.866006664Z;982;santorsola-pard-2
2;21456;132.8;100;3149;2024-07-01T16:57:53.985122967Z;982;santorsola-pard-2
2;21456;192.3;100;3149;2024-07-01T17:17:51.725680457Z;982;santorsola-pard-2
2;21456;91.6;100;3151;2024-07-01T17:37:48.229880909Z;982;santorsola-pard-2
2;21456;62.3;100;3149;2024-07-01T17:57:46.998738518Z;982;santorsola-pard-2
2;21456;26.6;100;3149;2024-07-01T18:17:49.398453442Z;982;santorsola-pard-2
2;21456;16.5;100;3149;2024-07-01T18:37:52.658548822Z;982;santorsola-pard-2
2;21456;8.2;100;3149;2024-07-01T18:57:49.958676469Z;982;santorsola-pard-2
2;21456;0.9;100;3151;2024-07-01T19:17:47.287510738Z;982;santorsola-pard-2
2;21456;0;100;3151;2024-07-01T19:37:52.550193678Z;982;santorsola-pard-2
2;21456;0;100;3151;2024-07-01T19:57:54.068866047Z;982;santorsola-pard-2
