protocolVersion;deviceId;photosyntheticallyActiveRadiation;batteryLevel;batteryValue;receivedAt;device;providerDeviceId
2;21455;0;100;3085;2024-06-30T22:11:22.602304343Z;981;santorsola-pard-1
2;21455;0;100;3085;2024-06-30T22:31:21.451261059Z;981;santorsola-pard-1
2;21455;0;100;3085;2024-06-30T22:51:23.724383919Z;981;santorsola-pard-1
2;21455;0;100;3085;2024-06-30T23:11:20.164175865Z;981;santorsola-pard-1
2;21455;0;100;3085;2024-06-30T23:31:19.204244915Z;981;santorsola-pard-1
2;21455;0;100;3083;2024-06-30T23:51:25.288966845Z;981;santorsola-pard-1
2;21455;0;100;3085;2024-07-01T00:11:25.037206771Z;981;santorsola-pard-1
2;21455;0;100;3083;2024-07-01T00:31:20.522426585Z;981;santorsola-pard-1
2;21455;0;100;3088;2024-07-01T00:51:21.408189403Z;981;santorsola-pard-1
2;21455;0;100;3085;2024-07-01T01:11:23.329489133Z;981;santorsola-pard-1
2;21455;0;100;3090;2024-07-01T01:31:19.655538605Z;981;santorsola-pard-1
2;21455;0;100;3090;2024-07-01T01:51:23.816829681Z;981;santorsola-pard-1
2;21455;0;100;3090;2024-07-01T02:11:22.147411763Z;981;santorsola-pard-1
2;21455;0;100;3085;2024-07-01T02:31:21.405674335Z;981;santorsola-pard-1
2;21455;0;100;3090;2024-07-01T02:51:19.962895502Z;981;santorsola-pard-1
2;21455;0;100;3090;2024-07-01T03:11:19.002687974Z;981;santorsola-pard-1
2;21455;4.6;100;3090;2024-07-01T03:31:20.767773380Z;981;santorsola-pard-1
2;21455;13.7;100;3090;2024-07-01T03:51:20.091651784Z;981;santorsola-pard-1
2;21455;30.2;100;3090;2024-07-01T04:11:21.414449521Z;981;santorsola-pard-1
2;21455;56.8;100;3093;2024-07-01T04:31:19.571660638Z;981;santorsola-pard-1
2;21455;111.7;100;3090;2024-07-01T04:51:22.417314795Z;981;santorsola-pard-1
2;21455;157.5;100;3093;2024-07-01T05:11:25.658034537Z;981;santorsola-pard-1
2;21455;180.4;100;3093;2024-07-01T05:31:18.110353572Z;981;santorsola-pard-1
2;21455;261.8;100;3093;2024-07-01T05:51:25.001493139Z;981;santorsola-pard-1
2;21455;252.7;100;3093;2024-07-01T06:11:22.874398258Z;981;santorsola-pard-1
2;21455;363.5;100;3095;2024-07-01T06:31:19.068229225Z;981;santorsola-pard-1
2;21455;396.4;100;3095;2024-07-01T06:51:23.645213405Z;981;santorsola-pard-1
2;21455;572.2;100;3095;2024-07-01T07:11:18.592299550Z;981;santorsola-pard-1
2;21455;339.7;100;3095;2024-07-01T07:31:20.704363727Z;981;santorsola-pard-1
2;21455;636.3;100;3095;2024-07-01T07:51:20.363486705Z;981;santorsola-pard-1
2;21455;412.9;100;3095;2024-07-01T08:11:24.206952666Z;981;santorsola-pard-1
2;21455;521.9;100;3095;2024-07-01T08:31:21.406252351Z;981;santorsola-pard-1
2;21455;892.6;100;3095;2024-07-01T08:51:17.867749538Z;981;santorsola-pard-1
2;21455;618.9;100;3093;2024-07-01T09:11:24.871462212Z;981;santorsola-pard-1
2;21455;438.5;100;3098;2024-07-01T09:31:22.796273050Z;981;santorsola-pard-1
2;21455;1040;100;3095;2024-07-01T09:51:22.745020174Z;981;santorsola-pard-1
2;21455;511.8;100;3095;2024-07-01T10:11:22.703836125Z;981;santorsola-pard-1
2;21455;1012.6;100;3095;2024-07-01T10:31:18.550791011Z;981;santorsola-pard-1
2;21455;1025.4;100;3095;2024-07-01T10:51:18.786931224Z;981;santorsola-pard-1
2;21455;363.5;100;3095;2024-07-01T11:11:19.269366301Z;981;santorsola-pard-1
2;21455;812.1;100;3093;2024-07-01T11:31:26.375044223Z;981;santorsola-pard-1
2;21455;268.2;100;3100;2024-07-01T11:51:24.263977300Z;981;santorsola-pard-1
2;21455;257.3;100;3093;2024-07-01T12:11:20.286158807Z;981;santorsola-pard-1
2;21455;285.6;100;3093;2024-07-01T12:31:20.287713441Z;981;santorsola-pard-1
2;21455;370.8;100;3090;2024-07-01T12:51:20.286912262Z;981;santorsola-pard-1
2;21455;283.8;100;3088;2024-07-01T13:11:23.974973091Z;981;santorsola-pard-1
2;21455;140.1;100;3088;2024-07-01T13:31:19.777904548Z;981;santorsola-pard-1
2;21455;187.7;100;3083;2024-07-01T13:51:21.011730791Z;981;santorsola-pard-1
2;21455;155.6;100;3088;2024-07-01T14:11:17.437506223Z;981;santorsola-pard-1
2;21455;125.4;100;3088;2024-07-01T14:31:20.295311004Z;981;santorsola-pard-1
2;21455;94.3;100;3090;2024-07-01T14:51:18.526012706Z;981;santorsola-pard-1
2;21455;45.8;100;3090;2024-07-01T15:11:23.097224674Z;981;santorsola-pard-1
2;21455;43;100;3090;2024-07-01T15:31:21.722335871Z;981;santorsola-pard-1
2;21455;20.1;100;3090;2024-07-01T15:51:23.406520073Z;981;santorsola-pard-1
2;21455;22.9;100;3090;2024-07-01T16:11:21.003830926Z;981;santorsola-pard-1
2;21455;140.1;100;3093;2024-07-01T16:31:21.951507194Z;981;santorsola-pard-1
2;21455;137.3;100;3093;2024-07-01T16:51:19.965191663Z;981;santorsola-pard-1
2;21455;335.1;100;3093;2024-07-01T17:11:23.616854358Z;981;santorsola-pard-1
2;21455;120.8;100;3095;2024-07-01T17:31:19.363180041Z;981;santorsola-pard-1
2;21455;62.3;100;3095;2024-07-01T17:51:24.909204122Z;981;santorsola-pard-1
2;21455;31.1;100;3093;2024-07-01T18:11:17.487015711Z;981;santorsola-pard-1
2;21455;15.6;100;3093;2024-07-01T18:31:19.261051923Z;981;santorsola-pard-1
2;21455;15.6;100;3093;2024-07-01T18:51:20.771838071Z;981;santorsola-pard-1
2;21455;1.8;100;3093;2024-07-01T19:11:21.795726321Z;981;santorsola-pard-1
2;21455;0;100;3095;2024-07-01T19:31:23.401448141Z;981;santorsola-pard-1
2;21455;0;100;3093;2024-07-01T19:51:19.103673248Z;981;santorsola-pard-1
2;21455;0;100;3095;2024-07-01T20:11:20.689246102Z;981;santorsola-pard-1
2;21455;0;100;3093;2024-07-01T20:31:21.623879981Z;981;santorsola-pard-1
2;21455;0;100;3095;2024-07-01T20:51:19.686903003Z;981;santorsola-pard-1
2;21455;0;100;3095;2024-07-01T21:11:19.363497997Z;981;santorsola-pard-1
2;21455;0;100;3095;2024-07-01T21:31:19.177445091Z;981;santorsola-pard-1
2;21455;0;100;3098;2024-07-01T21:51:24.356799256Z;981;santorsola-pard-1
2;21455;0;100;3093;2024-07-01T22:11:16.808958835Z;981;santorsola-pard-1
2;21455;0;100;3095;2024-07-01T22:31:24.135627831Z;981;santorsola-pard-1
2;21455;0;100;3098;2024-07-01T22:51:18.347510403Z;981;santorsola-pard-1
2;21455;0;100;3098;2024-07-01T23:11:16.734124946Z;981;santorsola-pard-1
2;21455;0;100;3098;2024-07-01T23:31:23.612914968Z;981;santorsola-pard-1
2;21455;0;100;3098;2024-07-01T23:51:21.918067889Z;981;santorsola-pard-1
2;21455;0;100;3098;2024-07-02T00:11:22.511867862Z;981;santorsola-pard-1
2;21455;0;100;3100;2024-07-02T00:31:21.245365879Z;981;santorsola-pard-1
2;21455;0;100;3098;2024-07-02T00:51:18.655735030Z;981;santorsola-pard-1
2;21455;0;100;3100;2024-07-02T01:11:23.538511490Z;981;santorsola-pard-1
2;21455;0;100;3100;2024-07-02T01:31:21.831311241Z;981;santorsola-pard-1
2;21455;0;100;3098;2024-07-02T01:51:17.929018942Z;981;santorsola-pard-1
2;21455;0;100;3098;2024-07-02T02:11:20.685921658Z;981;santorsola-pard-1
2;21455;0;100;3100;2024-07-02T02:31:20.213198565Z;981;santorsola-pard-1
2;21455;0;100;3100;2024-07-02T02:51:21.164664295Z;981;santorsola-pard-1
2;21455;0;100;3100;2024-07-02T03:11:23.221730171Z;981;santorsola-pard-1
2;21455;5.5;100;3100;2024-07-02T03:31:22.881860434Z;981;santorsola-pard-1
2;21455;15.6;100;3100;2024-07-02T03:51:18.727792448Z;981;santorsola-pard-1
2;21455;32;100;3100;2024-07-02T04:11:23.975098750Z;981;santorsola-pard-1
2;21455;76;100;3100;2024-07-02T04:31:20.424621945Z;981;santorsola-pard-1
2;21455;95.2;100;3100;2024-07-02T04:51:19.320089388Z;981;santorsola-pard-1
2;21455;187.7;100;3103;2024-07-02T05:11:17.216862687Z;981;santorsola-pard-1
2;21455;273.7;100;3103;2024-07-02T05:31:17.475162956Z;981;santorsola-pard-1
2;21455;336;100;3103;2024-07-02T05:51:18.000727227Z;981;santorsola-pard-1
2;21455;363.5;100;3103;2024-07-02T06:11:20.685862469Z;981;santorsola-pard-1
2;21455;358;100;3103;2024-07-02T06:31:22.410587464Z;981;santorsola-pard-1
2;21455;356.1;100;3103;2024-07-02T06:51:20.022724660Z;981;santorsola-pard-1
2;21455;564.9;100;3103;2024-07-02T07:11:16.730149170Z;981;santorsola-pard-1
2;21455;661.9;100;3103;2024-07-02T07:31:18.231136996Z;981;santorsola-pard-1
2;21455;736.1;100;3103;2024-07-02T07:51:23.164521134Z;981;santorsola-pard-1
2;21455;808.4;100;3103;2024-07-02T08:11:17.165669958Z;981;santorsola-pard-1
2;21455;881.7;100;3103;2024-07-02T08:31:21.006917686Z;981;santorsola-pard-1
2;21455;922.9;100;3103;2024-07-02T08:51:21.334417006Z;981;santorsola-pard-1
2;21455;950.3;100;3103;2024-07-02T09:11:17.465653516Z;981;santorsola-pard-1
2;21455;1034.5;100;3103;2024-07-02T09:31:20.321511681Z;981;santorsola-pard-1
2;21455;1069.3;100;3103;2024-07-02T09:51:19.562373611Z;981;santorsola-pard-1
2;21455;1082.2;100;3100;2024-07-02T10:11:20.072806849Z;981;santorsola-pard-1
2;21455;1073;100;3098;2024-07-02T10:31:22.974509452Z;981;santorsola-pard-1
2;21455;1067.5;100;3103;2024-07-02T10:51:20.933359591Z;981;santorsola-pard-1
2;21455;1000.7;100;3103;2024-07-02T11:11:20.847366943Z;981;santorsola-pard-1
2;21455;968.6;100;3100;2024-07-02T11:31:17.203474309Z;981;santorsola-pard-1
2;21455;1054.7;100;3100;2024-07-02T11:51:17.415048809Z;981;santorsola-pard-1
2;21455;1010.7;100;3100;2024-07-02T12:11:15.799146997Z;981;santorsola-pard-1
2;21455;940.2;100;3100;2024-07-02T12:31:18.709954888Z;981;santorsola-pard-1
2;21455;1125.2;100;3103;2024-07-02T12:51:16.949587388Z;981;santorsola-pard-1
2;21455;787.4;100;3103;2024-07-02T13:11:21.575480155Z;981;santorsola-pard-1
2;21455;1163.6;100;3103;2024-07-02T13:31:20.210608149Z;981;santorsola-pard-1
2;21455;279.2;100;3103;2024-07-02T13:51:22.056628351Z;981;santorsola-pard-1
2;21455;1045.5;100;3095;2024-07-02T14:11:19.163248471Z;981;santorsola-pard-1
2;21455;222.5;100;3095;2024-07-02T14:31:19.993610865Z;981;santorsola-pard-1
2;21455;196.8;100;3090;2024-07-02T14:51:19.127232740Z;981;santorsola-pard-1
2;21455;661.9;100;3090;2024-07-02T15:11:19.536708409Z;981;santorsola-pard-1
2;21455;207.8;100;3090;2024-07-02T15:31:22.798043523Z;981;santorsola-pard-1
2;21455;625.3;100;3093;2024-07-02T15:51:21.406898821Z;981;santorsola-pard-1
2;21455;596;100;3093;2024-07-02T16:11:19.925132678Z;981;santorsola-pard-1
2;21455;128.2;100;3093;2024-07-02T16:31:17.695915073Z;981;santorsola-pard-1
2;21455;363.5;100;3090;2024-07-02T16:51:23.217274563Z;981;santorsola-pard-1
2;21455;351.6;100;3090;2024-07-02T17:11:20.228167961Z;981;santorsola-pard-1
2;21455;78.7;100;3090;2024-07-02T17:31:17.876231086Z;981;santorsola-pard-1
2;21455;68.7;100;3090;2024-07-02T17:51:17.618961601Z;981;santorsola-pard-1
2;21455;54;100;3088;2024-07-02T18:11:23.203502379Z;981;santorsola-pard-1
2;21455;21.1;100;3090;2024-07-02T18:31:19.817228878Z;981;santorsola-pard-1
2;21455;9.2;100;3088;2024-07-02T18:51:21.652819972Z;981;santorsola-pard-1
