ph;temperature;batteryLevel;batteryValue;receivedAt;device;providerDeviceId
0.86;18.2;100;3370;2024-06-30T22:18:32.730358833Z;980;santorsola-phd-4
0.88;17.7;100;3365;2024-06-30T22:38:32.720641975Z;980;santorsola-phd-4
0.88;18.1;100;3361;2024-06-30T22:58:32.689209745Z;980;santorsola-phd-4
0.9;17.4;100;3363;2024-06-30T23:18:32.690289190Z;980;santorsola-phd-4
0.92;17.1;100;3361;2024-06-30T23:38:32.359528983Z;980;santorsola-phd-4
0.95;17.1;100;3361;2024-06-30T23:58:32.610086840Z;980;santorsola-phd-4
0.98;16.9;100;3361;2024-07-01T00:18:32.655996924Z;980;santorsola-phd-4
1.03;16.7;100;3367;2024-07-01T00:38:32.645421202Z;980;santorsola-phd-4
1.08;16.7;100;3363;2024-07-01T00:58:32.635769323Z;980;santorsola-phd-4
1.13;16.4;100;3358;2024-07-01T01:18:32.621343917Z;980;santorsola-phd-4
1.18;16.2;100;3358;2024-07-01T01:38:32.289586738Z;980;santorsola-phd-4
1.25;16.2;100;3358;2024-07-01T01:58:32.585472524Z;980;santorsola-phd-4
1.32;16.3;100;3363;2024-07-01T02:18:32.577794815Z;980;santorsola-phd-4
1.38;16.5;100;3358;2024-07-01T02:38:32.570161422Z;980;santorsola-phd-4
1.45;16.3;100;3361;2024-07-01T02:58:32.551676313Z;980;santorsola-phd-4
1.53;16;100;3361;2024-07-01T03:18:32.548355986Z;980;santorsola-phd-4
1.6;16.2;100;3361;2024-07-01T03:38:32.211688646Z;980;santorsola-phd-4
1.64;17;100;3370;2024-07-01T03:58:32.508808448Z;980;santorsola-phd-4
1.67;17.2;100;3365;2024-07-01T04:18:32.445092124Z;980;santorsola-phd-4
1.67;18.2;100;3363;2024-07-01T04:38:32.492494042Z;980;santorsola-phd-4
1.65;19.1;100;3374;2024-07-01T04:58:32.491208616Z;980;santorsola-phd-4
1.64;19.7;100;3370;2024-07-01T05:18:32.469884776Z;980;santorsola-phd-4
1.61;20.6;100;3377;2024-07-01T05:38:32.452465741Z;980;santorsola-phd-4
1.57;22.3;100;3377;2024-07-01T05:58:32.437952626Z;980;santorsola-phd-4
1.47;25.6;100;3379;2024-07-01T06:18:32.434144551Z;980;santorsola-phd-4
1.36;28.7;100;3388;2024-07-01T06:38:32.406053697Z;980;santorsola-phd-4
1.21;31.7;100;3400;2024-07-01T06:58:32.445972036Z;980;santorsola-phd-4
1.2;31.2;100;3400;2024-07-01T07:18:32.382782659Z;980;santorsola-phd-4
1.09;32.3;100;3393;2024-07-01T07:38:32.449327174Z;980;santorsola-phd-4
1.17;29.8;100;3390;2024-07-01T07:58:32.045985314Z;980;santorsola-phd-4
1.18;28;100;3388;2024-07-01T08:18:32.357172022Z;980;santorsola-phd-4
1.07;30.3;100;3386;2024-07-01T08:38:32.048859237Z;980;santorsola-phd-4
0.83;36.3;100;3395;2024-07-01T08:58:32.287533435Z;980;santorsola-phd-4
0.68;38;100;3395;2024-07-01T09:18:32.320377976Z;980;santorsola-phd-4
0.69;36.3;100;3395;2024-07-01T09:38:32.301037416Z;980;santorsola-phd-4
0.66;35.6;100;3400;2024-07-01T09:58:32.294188912Z;980;santorsola-phd-4
0.79;31.4;100;3388;2024-07-01T10:18:32.296881467Z;980;santorsola-phd-4
0.73;32.1;100;3393;2024-07-01T10:38:32.279851047Z;980;santorsola-phd-4
0.63;34;100;3395;2024-07-01T10:58:32.259970992Z;980;santorsola-phd-4
0.71;31.3;100;3383;2024-07-01T11:18:32.253036803Z;980;santorsola-phd-4
0.71;31.5;100;3390;2024-07-01T11:38:32.282212245Z;980;santorsola-phd-4
0.86;26.6;100;3386;2024-07-01T11:58:32.234985332Z;980;santorsola-phd-4
0.87;26;100;3379;2024-07-01T12:18:32.223394079Z;980;santorsola-phd-4
0.91;24.5;100;3379;2024-07-01T12:38:31.883643587Z;980;santorsola-phd-4
0.9;24.8;100;3374;2024-07-01T12:58:31.865770202Z;980;santorsola-phd-4
0.98;21.4;100;3372;2024-07-01T13:18:31.840554218Z;980;santorsola-phd-4
1.01;18.9;100;3367;2024-07-01T13:38:32.203618708Z;980;santorsola-phd-4
1;20.1;100;3370;2024-07-01T13:58:32.140767377Z;980;santorsola-phd-4
