ph;temperature;batteryLevel;batteryValue;receivedAt;device;providerDeviceId
7.26;18.5;100;3370;2024-06-30T22:16:21.803399584Z;1031;santorsola-phd-5
7.27;18;100;3370;2024-06-30T22:36:21.319047530Z;1031;santorsola-phd-5
7.27;18.2;100;3368;2024-06-30T22:56:21.322662728Z;1031;santorsola-phd-5
7.27;17.8;100;3368;2024-06-30T23:16:21.691722209Z;1031;santorsola-phd-5
7.28;17.5;100;3366;2024-06-30T23:36:21.682475363Z;1031;santorsola-phd-5
7.28;17.2;100;3366;2024-06-30T23:56:21.679104318Z;1031;santorsola-phd-5
7.29;17.1;100;3366;2024-07-01T00:16:21.669497476Z;1031;santorsola-phd-5
7.29;16.9;100;3368;2024-07-01T00:36:21.646548517Z;1031;santorsola-phd-5
7.29;17;100;3366;2024-07-01T00:56:21.641356088Z;1031;santorsola-phd-5
7.29;16.9;100;3361;2024-07-01T01:16:21.642273296Z;1031;santorsola-phd-5
7.3;16.6;100;3364;2024-07-01T01:36:21.643433986Z;1031;santorsola-phd-5
7.3;16.5;100;3364;2024-07-01T01:56:21.606753423Z;1031;santorsola-phd-5
7.3;16.5;100;3366;2024-07-01T02:16:21.587543594Z;1031;santorsola-phd-5
7.3;16.7;100;3364;2024-07-01T02:36:21.644020128Z;1031;santorsola-phd-5
7.3;16.6;100;3366;2024-07-01T02:56:21.568817831Z;1031;santorsola-phd-5
7.3;16.5;100;3366;2024-07-01T03:16:21.404919104Z;1031;santorsola-phd-5
7.3;16.5;100;3364;2024-07-01T03:36:21.562398866Z;1031;santorsola-phd-5
7.29;17;100;3366;2024-07-01T03:56:21.561708778Z;1031;santorsola-phd-5
7.28;17.4;100;3366;2024-07-01T04:16:21.562675533Z;1031;santorsola-phd-5
7.27;18.1;100;3364;2024-07-01T04:36:21.514797195Z;1031;santorsola-phd-5
7.25;19.1;100;3370;2024-07-01T04:56:21.082171042Z;1031;santorsola-phd-5
7.23;20.1;100;3372;2024-07-01T05:16:21.562246414Z;1031;santorsola-phd-5
7.22;20.5;100;3377;2024-07-01T05:36:21.483701034Z;1031;santorsola-phd-5
7.17;22.8;100;3384;2024-07-01T05:56:21.485426486Z;1031;santorsola-phd-5
7.15;23.3;100;3382;2024-07-01T06:16:21.006379822Z;1031;santorsola-phd-5
7.04;26.7;100;3393;2024-07-01T06:36:21.491864918Z;1031;santorsola-phd-5
7;27.6;100;3400;2024-07-01T06:56:21.410849248Z;1031;santorsola-phd-5
6.96;28.6;100;3402;2024-07-01T07:16:21.408697746Z;1031;santorsola-phd-5
6.98;28.2;100;3397;2024-07-01T07:36:21.413865167Z;1031;santorsola-phd-5
6.9;30;100;3402;2024-07-01T07:56:21.244515777Z;1031;santorsola-phd-5
6.99;27.8;100;3395;2024-07-01T08:16:21.407500882Z;1031;santorsola-phd-5
6.97;28.3;100;3393;2024-07-01T08:36:20.931316010Z;1031;santorsola-phd-5
6.8;32.2;100;3402;2024-07-01T08:56:21.330359598Z;1031;santorsola-phd-5
6.77;32.6;100;3409;2024-07-01T09:16:20.927273773Z;1031;santorsola-phd-5
6.71;33.7;100;3407;2024-07-01T09:36:20.925960789Z;1031;santorsola-phd-5
6.64;35.2;100;3409;2024-07-01T09:56:21.326076407Z;1031;santorsola-phd-5
6.82;31.7;100;3402;2024-07-01T10:16:20.925611462Z;1031;santorsola-phd-5
6.75;33;100;3404;2024-07-01T10:36:21.331882692Z;1031;santorsola-phd-5
6.7;34.1;100;3404;2024-07-01T10:56:21.328153871Z;1031;santorsola-phd-5
6.86;30.8;100;3400;2024-07-01T11:16:20.850048450Z;1031;santorsola-phd-5
6.79;32.3;100;3402;2024-07-01T11:36:21.254099407Z;1031;santorsola-phd-5
7;27.6;100;3395;2024-07-01T11:56:21.249275735Z;1031;santorsola-phd-5
7.06;26;100;3388;2024-07-01T12:16:21.247876888Z;1031;santorsola-phd-5
7.11;24.7;100;3386;2024-07-01T12:36:21.250052108Z;1031;santorsola-phd-5
7.09;25.5;100;3384;2024-07-01T12:56:21.088965960Z;1031;santorsola-phd-5
7.18;22.2;100;3382;2024-07-01T13:16:20.763027970Z;1031;santorsola-phd-5
7.29;17.5;100;3377;2024-07-01T13:36:21.167350263Z;1031;santorsola-phd-5
7.26;18.9;100;3377;2024-07-01T13:56:21.162298339Z;1031;santorsola-phd-5
7.25;19.4;100;3375;2024-07-01T14:16:21.162740008Z;1031;santorsola-phd-5
7.27;18.5;100;3372;2024-07-01T14:36:21.162753146Z;1031;santorsola-phd-5
7.27;18.3;100;3368;2024-07-01T14:56:21.171573001Z;1031;santorsola-phd-5
7.28;17.9;100;3372;2024-07-01T15:16:21.089099922Z;1031;santorsola-phd-5
7.28;17.6;100;3370;2024-07-01T15:36:21.088365330Z;1031;santorsola-phd-5
7.24;17.1;100;3366;2024-07-01T15:56:21.083195774Z;1031;santorsola-phd-5
7.24;17.1;100;3368;2024-07-01T16:16:21.084501031Z;1031;santorsola-phd-5
7.25;18.1;100;3370;2024-07-01T16:36:21.082593460Z;1031;santorsola-phd-5
7.26;19;100;3370;2024-07-01T16:56:21.083903798Z;1031;santorsola-phd-5
7.23;20.4;100;3377;2024-07-01T17:16:21.016170994Z;1031;santorsola-phd-5
7.24;19.7;100;3377;2024-07-01T17:36:20.539972030Z;1031;santorsola-phd-5
7.26;18.8;100;3379;2024-07-01T17:56:21.005145607Z;1031;santorsola-phd-5
7.27;18.5;100;3370;2024-07-01T18:16:21.002594960Z;1031;santorsola-phd-5
7.28;17.9;100;3370;2024-07-01T18:36:21.006556353Z;1031;santorsola-phd-5
7.28;17.8;100;3370;2024-07-01T18:56:20.766183096Z;1031;santorsola-phd-5
7.29;17.2;100;3368;2024-07-01T19:16:20.922831591Z;1031;santorsola-phd-5
7.28;17;100;3366;2024-07-01T19:36:20.926233507Z;1031;santorsola-phd-5
7.3;16.5;100;3366;2024-07-01T19:56:20.924327468Z;1031;santorsola-phd-5
7.3;16.1;100;3361;2024-07-01T20:16:20.923086208Z;1031;santorsola-phd-5
7.31;15.8;100;3359;2024-07-01T20:36:20.925717260Z;1031;santorsola-phd-5
7.3;15.6;100;3364;2024-07-01T20:56:20.855362382Z;1031;santorsola-phd-5
7.3;15.6;100;3364;2024-07-01T21:16:20.847087522Z;1031;santorsola-phd-5
7.3;15.3;100;3364;2024-07-01T21:36:20.848177805Z;1031;santorsola-phd-5
7.31;15.1;100;3368;2024-07-01T21:56:20.386051156Z;1031;santorsola-phd-5
7.31;14.9;100;3359;2024-07-01T22:16:20.840937986Z;1031;santorsola-phd-5
7.3;15.4;100;3361;2024-07-01T22:36:20.842809867Z;1031;santorsola-phd-5
7.29;15.9;100;3361;2024-07-01T22:56:20.841263979Z;1031;santorsola-phd-5
7.29;16;100;3364;2024-07-01T23:16:20.842780644Z;1031;santorsola-phd-5
7.29;16.1;100;3364;2024-07-01T23:36:20.771833159Z;1031;santorsola-phd-5
7.29;16.2;100;3366;2024-07-01T23:56:20.598077660Z;1031;santorsola-phd-5
7.29;16;100;3366;2024-07-02T00:16:20.765948860Z;1031;santorsola-phd-5
7.3;15.8;100;3364;2024-07-02T00:36:20.772343290Z;1031;santorsola-phd-5
7.3;15.6;100;3364;2024-07-02T00:56:20.307847745Z;1031;santorsola-phd-5
7.3;15.2;100;3361;2024-07-02T01:16:20.289085325Z;1031;santorsola-phd-5
7.31;14.9;100;3361;2024-07-02T01:36:20.261166538Z;1031;santorsola-phd-5
7.31;14.9;100;3357;2024-07-02T01:56:20.762334929Z;1031;santorsola-phd-5
7.31;14.8;100;3361;2024-07-02T02:16:20.764011267Z;1031;santorsola-phd-5
7.32;14.5;100;3359;2024-07-02T02:36:20.683435368Z;1031;santorsola-phd-5
7.33;14;100;3361;2024-07-02T02:56:20.680437692Z;1031;santorsola-phd-5
7.32;14;100;3359;2024-07-02T03:16:20.683548494Z;1031;santorsola-phd-5
7.32;13.9;100;3359;2024-07-02T03:36:20.679933173Z;1031;santorsola-phd-5
7.33;13.9;100;3357;2024-07-02T03:56:20.682478667Z;1031;santorsola-phd-5
7.32;14.4;100;3359;2024-07-02T04:16:20.684978033Z;1031;santorsola-phd-5
7.32;15.4;100;3361;2024-07-02T04:36:20.688594201Z;1031;santorsola-phd-5
7.32;15.9;100;3361;2024-07-02T04:56:20.188940203Z;1031;santorsola-phd-5
7.3;17.1;100;3372;2024-07-02T05:16:20.609328757Z;1031;santorsola-phd-5
7.27;18.5;100;3384;2024-07-02T05:36:20.145227257Z;1031;santorsola-phd-5
7.26;18.9;100;3384;2024-07-02T05:56:20.603562536Z;1031;santorsola-phd-5
7.23;20.3;100;3386;2024-07-02T06:16:20.603648457Z;1031;santorsola-phd-5
7.2;21.7;100;3391;2024-07-02T06:36:20.530245629Z;1031;santorsola-phd-5
7.14;23.7;100;3395;2024-07-02T06:56:20.351531695Z;1031;santorsola-phd-5
7.1;24.9;100;3397;2024-07-02T07:16:20.516056450Z;1031;santorsola-phd-5
7.04;26.6;100;3400;2024-07-02T07:36:20.500362071Z;1031;santorsola-phd-5
6.99;27.9;100;3402;2024-07-02T07:56:20.050765175Z;1031;santorsola-phd-5
6.99;27.9;100;3402;2024-07-02T08:16:20.027802639Z;1031;santorsola-phd-5
6.97;28.3;100;3402;2024-07-02T08:36:20.461938206Z;1031;santorsola-phd-5
6.92;29.5;100;3402;2024-07-02T08:56:20.284640390Z;1031;santorsola-phd-5
6.91;29.7;100;3404;2024-07-02T09:16:20.439288242Z;1031;santorsola-phd-5
6.89;30.2;100;3404;2024-07-02T09:36:20.443258377Z;1031;santorsola-phd-5
6.84;31.3;100;3400;2024-07-02T09:56:20.413577584Z;1031;santorsola-phd-5
6.81;31.9;100;3404;2024-07-02T10:16:19.966240560Z;1031;santorsola-phd-5
6.79;32.3;100;3400;2024-07-02T10:36:20.394806079Z;1031;santorsola-phd-5
6.73;33.5;100;3404;2024-07-02T10:56:20.204063075Z;1031;santorsola-phd-5
6.77;32.8;100;3402;2024-07-02T11:16:20.448365211Z;1031;santorsola-phd-5
6.76;32.8;100;3402;2024-07-02T11:36:20.356341863Z;1031;santorsola-phd-5
6.71;34;100;3404;2024-07-02T11:56:20.361160491Z;1031;santorsola-phd-5
6.68;34.3;100;3404;2024-07-02T12:16:20.359738032Z;1031;santorsola-phd-5
6.53;37.3;100;3407;2024-07-02T12:36:20.327373318Z;1031;santorsola-phd-5
6.58;36.2;100;3409;2024-07-02T12:56:19.887353288Z;1031;santorsola-phd-5
6.51;37.6;100;3409;2024-07-02T13:16:19.875859591Z;1031;santorsola-phd-5
6.45;38.6;100;3411;2024-07-02T13:36:19.873604145Z;1031;santorsola-phd-5
6.93;29.3;100;3400;2024-07-02T13:56:20.307902888Z;1031;santorsola-phd-5
6.71;34;100;3397;2024-07-02T14:16:19.864799929Z;1031;santorsola-phd-5
6.92;29.4;100;3395;2024-07-02T14:36:20.292878861Z;1031;santorsola-phd-5
7.02;27.2;100;3393;2024-07-02T14:56:20.269853502Z;1031;santorsola-phd-5
6.93;29.2;100;3393;2024-07-02T15:16:20.245026090Z;1031;santorsola-phd-5
6.97;28.4;100;3391;2024-07-02T15:36:20.243768947Z;1031;santorsola-phd-5
6.61;35.7;100;3409;2024-07-02T15:56:20.052758889Z;1031;santorsola-phd-5
7.03;26.6;100;3407;2024-07-02T16:16:20.225626893Z;1031;santorsola-phd-5
7.1;24.5;100;3393;2024-07-02T16:36:20.207906691Z;1031;santorsola-phd-5
