temperature;humidity;pressure;batteryLevel;batteryValue;receivedAt;device;providerDeviceId
18;86;962.16;100;4126;2024-06-30T22:16:02.205612717Z;1029;santorsola-thp-2
18;90;962.31;100;4135;2024-06-30T22:36:01.966150243Z;1029;santorsola-thp-2
17;90;962.32;100;4138;2024-06-30T22:56:01.681302313Z;1029;santorsola-thp-2
17;93;962.43;100;4132;2024-06-30T23:16:01.482003155Z;1029;santorsola-thp-2
17;93;962.54;100;4129;2024-06-30T23:36:01.243060531Z;1029;santorsola-thp-2
17;97;962.79;100;4132;2024-06-30T23:56:01.004738844Z;1029;santorsola-thp-2
16;96;962.71;100;4135;2024-07-01T00:16:00.844217758Z;1029;santorsola-thp-2
16;99;962.82;100;4138;2024-07-01T00:36:00.526653930Z;1029;santorsola-thp-2
16;99;962.8;100;4138;2024-07-01T00:56:00.315022140Z;1029;santorsola-thp-2
16;100;962.88;100;4141;2024-07-01T01:16:00.073807154Z;1029;santorsola-thp-2
16;99;962.75;100;4132;2024-07-01T01:35:59.838366440Z;1029;santorsola-thp-2
16;100;962.75;100;4132;2024-07-01T01:55:59.607431073Z;1029;santorsola-thp-2
16;100;962.78;100;4117;2024-07-01T02:15:59.387720827Z;1029;santorsola-thp-2
16;100;962.78;100;4138;2024-07-01T02:35:59.164066963Z;1029;santorsola-thp-2
16;100;962.68;100;4135;2024-07-01T03:15:58.705616114Z;1029;santorsola-thp-2
16;100;962.93;100;4141;2024-07-01T03:35:58.471492129Z;1029;santorsola-thp-2
16;100;962.75;100;4129;2024-07-01T04:15:58.021790245Z;1029;santorsola-thp-2
17;100;962.8;100;4114;2024-07-01T04:35:57.796343344Z;1029;santorsola-thp-2
18;96;962.92;100;4117;2024-07-01T04:55:57.560772313Z;1029;santorsola-thp-2
19;89;962.78;100;4129;2024-07-01T05:15:57.328892063Z;1029;santorsola-thp-2
20;82;962.73;100;4135;2024-07-01T05:35:57.104082577Z;1029;santorsola-thp-2
23;70;962.85;100;4129;2024-07-01T05:55:56.880519184Z;1029;santorsola-thp-2
23;71;962.83;100;4132;2024-07-01T06:15:56.681792115Z;1029;santorsola-thp-2
26;60;962.55;100;4129;2024-07-01T06:35:56.417423134Z;1029;santorsola-thp-2
28;51;962.43;100;4123;2024-07-01T06:55:56.199279732Z;1029;santorsola-thp-2
31;42;962.12;100;4108;2024-07-01T07:15:55.971563088Z;1029;santorsola-thp-2
28;47;962.2;100;4126;2024-07-01T07:35:55.755826353Z;1029;santorsola-thp-2
