temperature;wetness;batteryLevel;batteryValue;receivedAt;device;providerDeviceId
18.6;0.9;100;3357;2024-06-30T22:10:42.980012059Z;1028;santorsola-wetsd-3
17.9;1.2;100;3357;2024-06-30T22:30:42.521465526Z;1028;santorsola-wetsd-3
17.8;1.1;100;3357;2024-06-30T22:50:42.933565204Z;1028;santorsola-wetsd-3
17.6;1.5;100;3355;2024-06-30T23:10:42.910922950Z;1028;santorsola-wetsd-3
17.5;1.3;100;3357;2024-06-30T23:30:42.915742684Z;1028;santorsola-wetsd-3
17;1.8;100;3355;2024-06-30T23:50:42.441211683Z;1028;santorsola-wetsd-3
16.9;1.8;100;3352;2024-07-01T00:10:42.848585038Z;1028;santorsola-wetsd-3
16.8;2.1;100;3355;2024-07-01T00:30:42.825863732Z;1028;santorsola-wetsd-3
16.8;1.9;100;3357;2024-07-01T00:50:42.817416395Z;1028;santorsola-wetsd-3
16.8;2.2;100;3357;2024-07-01T01:10:42.802290977Z;1028;santorsola-wetsd-3
16.5;2.3;100;3355;2024-07-01T01:30:42.593689812Z;1028;santorsola-wetsd-3
16.3;2.3;100;3357;2024-07-01T01:50:42.747357890Z;1028;santorsola-wetsd-3
16.2;2.5;100;3357;2024-07-01T02:10:42.728019383Z;1028;santorsola-wetsd-3
16.4;2.4;100;3355;2024-07-01T02:30:42.697957377Z;1028;santorsola-wetsd-3
16.5;2.6;100;3352;2024-07-01T02:50:42.683990492Z;1028;santorsola-wetsd-3
16.4;2.7;100;3352;2024-07-01T03:10:42.663935251Z;1028;santorsola-wetsd-3
16.2;2.8;100;3346;2024-07-01T03:30:42.651358327Z;1028;santorsola-wetsd-3
16.5;2.5;100;3357;2024-07-01T03:50:42.630001440Z;1028;santorsola-wetsd-3
17;2.5;100;3357;2024-07-01T04:10:42.210038310Z;1028;santorsola-wetsd-3
17.7;1.7;100;3357;2024-07-01T04:30:42.581339207Z;1028;santorsola-wetsd-3
18.9;1.3;100;3357;2024-07-01T04:50:42.566908716Z;1028;santorsola-wetsd-3
20;1.1;100;3361;2024-07-01T05:10:42.361688379Z;1028;santorsola-wetsd-3
20.7;0.9;100;3364;2024-07-01T05:30:42.519540342Z;1028;santorsola-wetsd-3
23.3;0.8;100;3373;2024-07-01T05:50:42.520144452Z;1028;santorsola-wetsd-3
23.2;0.7;100;3368;2024-07-01T06:10:42.475859521Z;1028;santorsola-wetsd-3
27.5;0.8;100;3380;2024-07-01T06:30:42.457402876Z;1028;santorsola-wetsd-3
32.3;0.7;100;3384;2024-07-01T06:50:41.997424971Z;1028;santorsola-wetsd-3
34.2;0.6;100;3389;2024-07-01T07:10:42.436910977Z;1028;santorsola-wetsd-3
32;0.4;100;3386;2024-07-01T07:30:42.418207724Z;1028;santorsola-wetsd-3
35.2;0.5;100;3389;2024-07-01T07:50:42.395188458Z;1028;santorsola-wetsd-3
33.6;0.4;100;3389;2024-07-01T08:10:42.472872446Z;1028;santorsola-wetsd-3
29.7;0.4;100;3382;2024-07-01T08:30:42.374818837Z;1028;santorsola-wetsd-3
36.3;0.6;100;3389;2024-07-01T08:50:42.366392277Z;1028;santorsola-wetsd-3
41.1;0.5;100;3400;2024-07-01T09:10:42.204560530Z;1028;santorsola-wetsd-3
40.3;0.3;100;3400;2024-07-01T09:30:42.370059698Z;1028;santorsola-wetsd-3
38.6;0.2;100;3396;2024-07-01T09:50:41.898853505Z;1028;santorsola-wetsd-3
35.7;0.3;100;3391;2024-07-01T10:10:42.359785138Z;1028;santorsola-wetsd-3
38.3;0.3;100;3396;2024-07-01T10:30:41.876106343Z;1028;santorsola-wetsd-3
36.9;0.3;100;3391;2024-07-01T10:50:41.869728820Z;1028;santorsola-wetsd-3
32.6;0.2;100;3386;2024-07-01T11:10:42.300286234Z;1028;santorsola-wetsd-3
