ecp;batteryValue;temperature;waterContent;batteryLevel;receivedAt;device;providerDeviceId
0;3612;18.7;0;100;2024-06-30T22:14:49.478986129Z;978;santorsola-thecp-1
0;3612;18.1;0;100;2024-06-30T22:34:49.230291253Z;978;santorsola-thecp-1
0;3612;17.9;0;100;2024-06-30T22:54:48.980845272Z;978;santorsola-thecp-1
0;3612;17.6;0;100;2024-06-30T23:14:48.730840475Z;978;santorsola-thecp-1
0;3612;17.4;0;100;2024-06-30T23:34:48.481938917Z;978;santorsola-thecp-1
0;3612;17;0;100;2024-06-30T23:54:48.228590903Z;978;santorsola-thecp-1
0;3612;17;0;100;2024-07-01T00:14:47.986594980Z;978;santorsola-thecp-1
0;3612;16.8;0;100;2024-07-01T00:34:47.737487810Z;978;santorsola-thecp-1
0;3612;16.8;0;100;2024-07-01T00:54:47.478873370Z;978;santorsola-thecp-1
0;3612;16.7;0;100;2024-07-01T01:14:47.237783925Z;978;santorsola-thecp-1
0;3612;16.5;0;100;2024-07-01T01:34:46.986358018Z;978;santorsola-thecp-1
0;3612;16.3;0;100;2024-07-01T01:54:46.727162127Z;978;santorsola-thecp-1
0;3612;16.2;0;100;2024-07-01T02:14:46.477909494Z;978;santorsola-thecp-1
0;3612;16.4;0;100;2024-07-01T02:34:46.239470483Z;978;santorsola-thecp-1
0;3612;16.4;0;100;2024-07-01T02:54:46.002706160Z;978;santorsola-thecp-1
0;3612;16.3;0;100;2024-07-01T03:14:45.735627278Z;978;santorsola-thecp-1
0;3612;16.1;0;100;2024-07-01T03:34:45.481420259Z;978;santorsola-thecp-1
0;3612;16.5;0;100;2024-07-01T03:54:45.231628550Z;978;santorsola-thecp-1
0;3612;16.8;0;100;2024-07-01T04:14:44.984255521Z;978;santorsola-thecp-1
0;3612;17.3;0;100;2024-07-01T04:34:44.733688854Z;978;santorsola-thecp-1
0;3612;18.1;0;100;2024-07-01T04:54:44.488981799Z;978;santorsola-thecp-1
0;3612;18.7;0;100;2024-07-01T05:14:44.238646369Z;978;santorsola-thecp-1
0;3612;19.1;0;100;2024-07-01T05:34:43.973505350Z;978;santorsola-thecp-1
0;3618;20.6;0;100;2024-07-01T05:54:43.723401057Z;978;santorsola-thecp-1
0;3612;21.1;0;100;2024-07-01T06:14:43.481229165Z;978;santorsola-thecp-1
0;3612;23.1;0;100;2024-07-01T06:34:43.238893916Z;978;santorsola-thecp-1
0;3612;25.4;0;100;2024-07-01T06:54:43.002392443Z;978;santorsola-thecp-1
0;3618;27.6;0;100;2024-07-01T07:14:42.734379375Z;978;santorsola-thecp-1
0;3612;26.7;0;100;2024-07-01T07:34:42.478094857Z;978;santorsola-thecp-1
0;3612;28.3;0;100;2024-07-01T07:54:42.229132422Z;978;santorsola-thecp-1
0;3612;27.2;0;100;2024-07-01T08:14:41.976300498Z;978;santorsola-thecp-1
0;3618;26.3;0;100;2024-07-01T08:34:41.727174111Z;978;santorsola-thecp-1
0;3618;29.3;0;100;2024-07-01T08:54:41.475528744Z;978;santorsola-thecp-1
0;3618;31.3;0;100;2024-07-01T09:14:41.243049951Z;978;santorsola-thecp-1
0;3618;31.5;0;100;2024-07-01T09:34:40.988086135Z;978;santorsola-thecp-1
0;3618;32.3;0;100;2024-07-01T09:54:40.745882943Z;978;santorsola-thecp-1
0;3618;30.7;0;100;2024-07-01T10:14:40.516978830Z;978;santorsola-thecp-1
0;3618;31.4;0;100;2024-07-01T10:34:40.281576043Z;978;santorsola-thecp-1
0;3618;31.9;0;100;2024-07-01T10:54:40.005746381Z;978;santorsola-thecp-1
0;3618;28.9;0;100;2024-07-01T11:14:39.761232641Z;978;santorsola-thecp-1
0;3618;30.4;0;100;2024-07-01T11:34:39.513462139Z;978;santorsola-thecp-1
0;3618;28.3;0;100;2024-07-01T11:54:39.265307759Z;978;santorsola-thecp-1
0;3612;26.5;0;100;2024-07-01T12:14:39.014603460Z;978;santorsola-thecp-1
0;3612;24.8;0;100;2024-07-01T12:34:38.761682180Z;978;santorsola-thecp-1
0;3618;23.1;0;100;2024-07-01T12:54:38.525191538Z;978;santorsola-thecp-1
0;3618;22.9;0;100;2024-07-01T13:14:38.291519658Z;978;santorsola-thecp-1
0;3618;19.6;0;100;2024-07-01T13:34:38.120389300Z;978;santorsola-thecp-1
0;3612;19.6;0;100;2024-07-01T13:54:37.761546845Z;978;santorsola-thecp-1
0;3612;19.9;0;100;2024-07-01T14:14:37.517148011Z;978;santorsola-thecp-1
0;3612;19.2;0;100;2024-07-01T14:34:37.268620220Z;978;santorsola-thecp-1
0;3618;18.8;0;100;2024-07-01T14:54:37.008805397Z;978;santorsola-thecp-1
0;3612;18.3;0;100;2024-07-01T15:14:36.756948141Z;978;santorsola-thecp-1
0;3612;18;0;100;2024-07-01T15:34:36.506758392Z;978;santorsola-thecp-1
0;3612;17.8;0;100;2024-07-01T15:54:36.284479445Z;978;santorsola-thecp-1
0;3612;17.5;0;100;2024-07-01T16:14:36.007739218Z;978;santorsola-thecp-1
0;3612;17.9;0;100;2024-07-01T16:34:35.756487016Z;978;santorsola-thecp-1
0;3612;18.8;0;100;2024-07-01T16:54:35.517570639Z;978;santorsola-thecp-1
0;3612;19.3;0;100;2024-07-01T17:14:35.256542931Z;978;santorsola-thecp-1
0;3612;19.5;0;100;2024-07-01T17:34:35.002236913Z;978;santorsola-thecp-1
0;3618;19;0;100;2024-07-01T17:54:34.749518135Z;978;santorsola-thecp-1
0;3612;18.5;0;100;2024-07-01T18:14:34.526250845Z;978;santorsola-thecp-1
0;3612;18;0;100;2024-07-01T18:34:34.249063330Z;978;santorsola-thecp-1
0;3618;17.8;0;100;2024-07-01T18:54:34.010701509Z;978;santorsola-thecp-1
0;3612;17.1;0;100;2024-07-01T19:34:33.500947823Z;978;santorsola-thecp-1
0;3612;16.6;0;100;2024-07-01T19:54:33.257162092Z;978;santorsola-thecp-1
0;3612;16.2;0;100;2024-07-01T20:14:32.993733591Z;978;santorsola-thecp-1
0;3612;15.8;0;100;2024-07-01T20:34:32.753355763Z;978;santorsola-thecp-1
0;3612;15.5;0;100;2024-07-01T20:54:32.502596899Z;978;santorsola-thecp-1
0;3612;15.4;0;100;2024-07-01T21:14:32.256001213Z;978;santorsola-thecp-1
0;3612;15.3;0;100;2024-07-01T21:34:32.016547739Z;978;santorsola-thecp-1
0;3612;15;0;100;2024-07-01T21:54:31.755899665Z;978;santorsola-thecp-1
0;3612;14.8;0;100;2024-07-01T22:14:31.506428940Z;978;santorsola-thecp-1
0;3612;15;0;100;2024-07-01T22:34:31.255007029Z;978;santorsola-thecp-1
