temperature;humidity;pressure;batteryLevel;batteryValue;receivedAt;device;providerDeviceId
18;87;962.26;100;4088;2024-06-30T22:17:02.217681883Z;977;santorsola-thp-1
18;89;962.37;100;4097;2024-06-30T22:37:01.950021902Z;977;santorsola-thp-1
18;89;962.37;100;4097;2024-06-30T22:57:01.729179153Z;977;santorsola-thp-1
17;92;962.43;100;4097;2024-06-30T23:17:01.563305111Z;977;santorsola-thp-1
17;93;962.57;100;4076;2024-06-30T23:37:01.278637328Z;977;santorsola-thp-1
17;95;962.83;100;4097;2024-06-30T23:57:01.100798753Z;977;santorsola-thp-1
16;94;962.79;100;4097;2024-07-01T00:17:00.848916183Z;977;santorsola-thp-1
16;96;962.83;100;4100;2024-07-01T00:37:00.609760271Z;977;santorsola-thp-1
16;97;962.78;100;4094;2024-07-01T00:57:00.436318111Z;977;santorsola-thp-1
16;97;962.87;100;4100;2024-07-01T01:17:00.175081474Z;977;santorsola-thp-1
16;97;962.74;100;4108;2024-07-01T01:36:59.939061931Z;977;santorsola-thp-1
16;98;962.69;100;4097;2024-07-01T01:56:59.714683227Z;977;santorsola-thp-1
16;99;962.75;100;4100;2024-07-01T02:16:59.499200606Z;977;santorsola-thp-1
16;100;962.71;100;4079;2024-07-01T02:36:59.268380721Z;977;santorsola-thp-1
16;99;962.63;100;4094;2024-07-01T02:56:59.042885818Z;977;santorsola-thp-1
16;100;962.6;100;4097;2024-07-01T03:16:58.835369549Z;977;santorsola-thp-1
16;100;962.81;100;4100;2024-07-01T03:36:58.614363887Z;977;santorsola-thp-1
16;100;962.68;100;4105;2024-07-01T03:56:58.376735549Z;977;santorsola-thp-1
16;100;962.61;100;4079;2024-07-01T04:16:58.163491713Z;977;santorsola-thp-1
17;100;962.62;100;4082;2024-07-01T04:36:57.932871402Z;977;santorsola-thp-1
17;95;962.67;100;4100;2024-07-01T04:56:57.707061605Z;977;santorsola-thp-1
18;91;962.61;100;4079;2024-07-01T05:16:57.500102880Z;977;santorsola-thp-1
19;87;962.58;100;4097;2024-07-01T05:36:57.262332590Z;977;santorsola-thp-1
21;80;962.57;100;4079;2024-07-01T05:56:57.048136410Z;977;santorsola-thp-1
22;78;962.47;100;4094;2024-07-01T06:16:56.817249134Z;977;santorsola-thp-1
24;68;962.21;100;4091;2024-07-01T06:36:56.606983939Z;977;santorsola-thp-1
26;63;962.04;100;4082;2024-07-01T06:56:56.378968019Z;977;santorsola-thp-1
27;55;961.74;100;4082;2024-07-01T07:16:56.162615725Z;977;santorsola-thp-1
27;60;961.85;100;4088;2024-07-01T07:36:55.945928347Z;977;santorsola-thp-1
28;55;961.77;100;4070;2024-07-01T07:56:55.736765172Z;977;santorsola-thp-1
27;58;961.86;100;4073;2024-07-01T08:16:55.530063939Z;977;santorsola-thp-1
26;62;961.68;100;4070;2024-07-01T08:36:55.331218667Z;977;santorsola-thp-1
29;53;961.37;100;4085;2024-07-01T08:56:55.086569776Z;977;santorsola-thp-1
31;48;961.1;100;4079;2024-07-01T09:16:54.879755009Z;977;santorsola-thp-1
32;46;960.83;100;4085;2024-07-01T09:36:54.683559697Z;977;santorsola-thp-1
33;46;960.51;100;4085;2024-07-01T09:56:54.472764376Z;977;santorsola-thp-1
31;48;960.33;100;4082;2024-07-01T10:16:54.282012683Z;977;santorsola-thp-1
31;49;959.98;100;4070;2024-07-01T10:36:54.050207094Z;977;santorsola-thp-1
32;46;959.56;100;4079;2024-07-01T10:56:53.850732814Z;977;santorsola-thp-1
29;58;959.5;100;4079;2024-07-01T11:16:53.631603713Z;977;santorsola-thp-1
30;51;959.26;100;4079;2024-07-01T11:36:53.412712620Z;977;santorsola-thp-1
27;58;959.14;100;4073;2024-07-01T11:56:53.205251533Z;977;santorsola-thp-1
25;62;959.56;100;4085;2024-07-01T12:16:52.996824819Z;977;santorsola-thp-1
24;58;959.99;100;4082;2024-07-01T12:36:52.772714869Z;977;santorsola-thp-1
23;65;961.01;100;4097;2024-07-01T12:56:52.553898699Z;977;santorsola-thp-1
22;64;961.46;100;4094;2024-07-01T13:16:52.333543901Z;977;santorsola-thp-1
19;80;962.02;100;4091;2024-07-01T13:36:52.124125705Z;977;santorsola-thp-1
19;80;962.21;100;4097;2024-07-01T13:56:51.882275301Z;977;santorsola-thp-1
20;80;962.11;100;4094;2024-07-01T14:16:51.647301421Z;977;santorsola-thp-1
19;82;962.1;100;4076;2024-07-01T14:36:51.434053643Z;977;santorsola-thp-1
18;84;962.16;100;4073;2024-07-01T14:56:51.205890590Z;977;santorsola-thp-1
18;87;961.71;100;4079;2024-07-01T15:16:50.988416230Z;977;santorsola-thp-1
17;87;961.19;100;4100;2024-07-01T15:36:50.768462676Z;977;santorsola-thp-1
17;91;961.39;100;4094;2024-07-01T15:56:50.535648909Z;977;santorsola-thp-1
17;94;961.76;100;4094;2024-07-01T16:16:50.316002141Z;977;santorsola-thp-1
17;90;961.55;100;4073;2024-07-01T16:36:50.116332290Z;977;santorsola-thp-1
18;89;961.52;100;4097;2024-07-01T16:56:49.864826536Z;977;santorsola-thp-1
19;83;961.64;100;4073;2024-07-01T17:16:49.646408926Z;977;santorsola-thp-1
19;84;961.72;100;4076;2024-07-01T17:36:49.421334401Z;977;santorsola-thp-1
19;84;961.87;100;4088;2024-07-01T17:56:49.199698303Z;977;santorsola-thp-1
18;89;961.98;100;4088;2024-07-01T18:16:48.978653636Z;977;santorsola-thp-1
17;91;962.12;100;4094;2024-07-01T18:36:48.747443627Z;977;santorsola-thp-1
17;91;962.05;100;4082;2024-07-01T18:56:48.528276603Z;977;santorsola-thp-1
17;94;962.11;100;4094;2024-07-01T19:16:48.303178001Z;977;santorsola-thp-1
16;95;962.47;100;4082;2024-07-01T19:36:48.071077147Z;977;santorsola-thp-1
16;95;962.66;100;4076;2024-07-01T19:56:47.847372925Z;977;santorsola-thp-1
16;96;962.51;100;4105;2024-07-01T20:16:47.638779956Z;977;santorsola-thp-1
15;96;962.61;100;4097;2024-07-01T20:36:47.416581486Z;977;santorsola-thp-1
15;98;962.72;100;4102;2024-07-01T20:56:47.184246244Z;977;santorsola-thp-1
15;98;962.79;100;4097;2024-07-01T21:16:46.965154866Z;977;santorsola-thp-1
15;99;962.9;100;4076;2024-07-01T21:36:46.736875360Z;977;santorsola-thp-1
14;99;962.99;100;4100;2024-07-01T21:56:46.528867978Z;977;santorsola-thp-1
14;99;962.94;100;4097;2024-07-01T22:16:46.307228668Z;977;santorsola-thp-1
14;100;962.96;100;4100;2024-07-01T22:36:46.066676447Z;977;santorsola-thp-1
15;100;962.8;100;4082;2024-07-01T22:56:45.856867524Z;977;santorsola-thp-1
15;100;962.73;100;4094;2024-07-01T23:16:45.635393970Z;977;santorsola-thp-1
15;100;962.73;100;4100;2024-07-01T23:36:45.402905592Z;977;santorsola-thp-1
15;100;962.62;100;4102;2024-07-01T23:56:45.180362470Z;977;santorsola-thp-1
15;100;962.44;100;4082;2024-07-02T00:16:44.959911610Z;977;santorsola-thp-1
15;100;962.3;100;4097;2024-07-02T00:36:44.733910813Z;977;santorsola-thp-1
15;100;962.24;100;4097;2024-07-02T00:56:44.518603201Z;977;santorsola-thp-1
15;100;962.2;100;4094;2024-07-02T01:16:44.285644332Z;977;santorsola-thp-1
14;100;962.12;100;4105;2024-07-02T01:36:44.062425055Z;977;santorsola-thp-1
14;100;962.09;100;4097;2024-07-02T01:56:43.847181069Z;977;santorsola-thp-1
14;100;962.02;100;4097;2024-07-02T02:16:43.623510379Z;977;santorsola-thp-1
14;99;962.01;100;4100;2024-07-02T02:36:43.408426176Z;977;santorsola-thp-1
13;100;962.03;100;4097;2024-07-02T03:16:42.963492499Z;977;santorsola-thp-1
13;100;962.03;100;4097;2024-07-02T03:36:42.729383590Z;977;santorsola-thp-1
13;100;961.97;100;4094;2024-07-02T03:56:42.513916270Z;977;santorsola-thp-1
13;100;962.15;100;4076;2024-07-02T04:16:42.291848968Z;977;santorsola-thp-1
14;100;962.16;100;4100;2024-07-02T04:36:42.068427037Z;977;santorsola-thp-1
15;97;962.2;100;4097;2024-07-02T04:56:41.848521293Z;977;santorsola-thp-1
16;92;962.29;100;4100;2024-07-02T05:16:41.627967522Z;977;santorsola-thp-1
19;81;962;100;4076;2024-07-02T05:36:41.405990967Z;977;santorsola-thp-1
20;78;961.98;100;4094;2024-07-02T05:56:41.183861825Z;977;santorsola-thp-1
21;76;961.94;100;4088;2024-07-02T06:16:40.959368537Z;977;santorsola-thp-1
22;70;961.89;100;4088;2024-07-02T06:36:40.739025534Z;977;santorsola-thp-1
23;67;961.92;100;4094;2024-07-02T06:56:40.521497493Z;977;santorsola-thp-1
24;65;961.86;100;4085;2024-07-02T07:16:40.300562578Z;977;santorsola-thp-1
24;59;961.6;100;4082;2024-07-02T07:36:40.124436996Z;977;santorsola-thp-1
25;57;961.3;100;4088;2024-07-02T07:56:39.860566Z;977;santorsola-thp-1
25;58;961.13;100;4085;2024-07-02T08:16:39.651136192Z;977;santorsola-thp-1
26;53;960.88;100;4091;2024-07-02T08:36:39.443172606Z;977;santorsola-thp-1
28;50;960.61;100;4088;2024-07-02T08:56:39.241231185Z;977;santorsola-thp-1
29;46;960.49;100;4079;2024-07-02T09:16:39.003509320Z;977;santorsola-thp-1
30;42;960.22;100;4082;2024-07-02T09:36:38.802431347Z;977;santorsola-thp-1
30;39;960.05;100;4079;2024-07-02T09:56:38.598626804Z;977;santorsola-thp-1
30;39;959.96;100;4085;2024-07-02T10:16:38.395457391Z;977;santorsola-thp-1
31;37;959.75;100;4082;2024-07-02T10:36:38.207922644Z;977;santorsola-thp-1
31;40;959.48;100;4067;2024-07-02T10:56:37.980548573Z;977;santorsola-thp-1
31;40;959.35;100;4076;2024-07-02T11:16:37.774304258Z;977;santorsola-thp-1
31;37;959.12;100;4082;2024-07-02T11:36:37.562977790Z;977;santorsola-thp-1
31;36;958.91;100;4079;2024-07-02T11:56:37.353452165Z;977;santorsola-thp-1
32;31;958.78;100;4082;2024-07-02T12:16:37.156611163Z;977;santorsola-thp-1
