waterTension;batteryLevel;batteryValue;receivedAt;device;providerDeviceId
6;100;3514;2024-06-30T22:12:06.969845872Z;1038;santorsola-tensio-5
6;100;3512;2024-06-30T22:32:06.909072478Z;1038;santorsola-tensio-5
6;100;3512;2024-06-30T22:52:06.850425563Z;1038;santorsola-tensio-5
5;100;3512;2024-06-30T23:12:06.781018319Z;1038;santorsola-tensio-5
5;100;3510;2024-06-30T23:32:06.721708394Z;1038;santorsola-tensio-5
6;100;3510;2024-06-30T23:52:06.669036127Z;1038;santorsola-tensio-5
5;100;3509;2024-07-01T00:12:06.597323118Z;1038;santorsola-tensio-5
6;100;3509;2024-07-01T00:32:06.526450975Z;1038;santorsola-tensio-5
6;100;3507;2024-07-01T00:52:06.475555465Z;1038;santorsola-tensio-5
6;100;3507;2024-07-01T01:12:06.417977703Z;1038;santorsola-tensio-5
5;100;3507;2024-07-01T01:32:06.345712268Z;1038;santorsola-tensio-5
6;100;3505;2024-07-01T01:52:06.287299102Z;1038;santorsola-tensio-5
6;100;3505;2024-07-01T02:12:06.286203428Z;1038;santorsola-tensio-5
5;100;3503;2024-07-01T02:32:06.160223762Z;1038;santorsola-tensio-5
5;100;3503;2024-07-01T02:52:06.126061837Z;1038;santorsola-tensio-5
5;100;3502;2024-07-01T03:12:06.037486685Z;1038;santorsola-tensio-5
6;100;3502;2024-07-01T03:32:05.972430295Z;1038;santorsola-tensio-5
6;100;3502;2024-07-01T03:52:05.899082601Z;1038;santorsola-tensio-5
5;100;3500;2024-07-01T04:12:05.883184849Z;1038;santorsola-tensio-5
5;100;3498;2024-07-01T04:32:05.779829693Z;1038;santorsola-tensio-5
5;100;3498;2024-07-01T04:52:05.726899225Z;1038;santorsola-tensio-5
5;100;3498;2024-07-01T05:12:05.670779227Z;1038;santorsola-tensio-5
5;100;3498;2024-07-01T05:32:05.600697684Z;1038;santorsola-tensio-5
6;100;3512;2024-07-01T05:52:05.544063219Z;1038;santorsola-tensio-5
5;100;3512;2024-07-01T06:12:05.485515020Z;1038;santorsola-tensio-5
5;100;3539;2024-07-01T06:32:05.438425695Z;1038;santorsola-tensio-5
6;100;3533;2024-07-01T06:52:05.395807382Z;1038;santorsola-tensio-5
7;100;3535;2024-07-01T07:12:05.332535868Z;1038;santorsola-tensio-5
7;100;3533;2024-07-01T07:32:05.325998357Z;1038;santorsola-tensio-5
7;100;3535;2024-07-01T07:52:05.252196829Z;1038;santorsola-tensio-5
7;100;3533;2024-07-01T08:12:05.250978080Z;1038;santorsola-tensio-5
7;100;3533;2024-07-01T08:32:05.179361277Z;1038;santorsola-tensio-5
7;100;3533;2024-07-01T08:52:05.168146623Z;1038;santorsola-tensio-5
7;100;3530;2024-07-01T09:12:05.083895396Z;1038;santorsola-tensio-5
7;100;3528;2024-07-01T09:32:05.084495577Z;1038;santorsola-tensio-5
7;100;3528;2024-07-01T09:52:05.085615793Z;1038;santorsola-tensio-5
7;100;3528;2024-07-01T10:12:04.956533958Z;1038;santorsola-tensio-5
7;100;3530;2024-07-01T10:32:04.922092579Z;1038;santorsola-tensio-5
7;100;3528;2024-07-01T10:52:04.886117530Z;1038;santorsola-tensio-5
7;100;3528;2024-07-01T11:12:04.874560458Z;1038;santorsola-tensio-5
7;100;3530;2024-07-01T11:32:04.806987937Z;1038;santorsola-tensio-5
7;100;3530;2024-07-01T11:52:04.765286136Z;1038;santorsola-tensio-5
7;100;3533;2024-07-01T12:12:04.723561169Z;1038;santorsola-tensio-5
6;100;3533;2024-07-01T12:32:04.666673362Z;1038;santorsola-tensio-5
5;100;3535;2024-07-01T12:52:04.627921839Z;1038;santorsola-tensio-5
6;100;3537;2024-07-01T13:12:04.567250106Z;1038;santorsola-tensio-5
6;100;3537;2024-07-01T13:32:04.508471675Z;1038;santorsola-tensio-5
5;100;3539;2024-07-01T13:52:04.448823095Z;1038;santorsola-tensio-5
6;100;3540;2024-07-01T14:12:04.445625156Z;1038;santorsola-tensio-5
5;100;3539;2024-07-01T14:32:04.326878270Z;1038;santorsola-tensio-5
6;100;3537;2024-07-01T15:12:04.215227732Z;1038;santorsola-tensio-5
6;100;3537;2024-07-01T15:32:04.145835431Z;1038;santorsola-tensio-5
5;100;3535;2024-07-01T15:52:04.086621774Z;1038;santorsola-tensio-5
6;100;3535;2024-07-01T16:12:04.018107564Z;1038;santorsola-tensio-5
5;100;3533;2024-07-01T16:32:03.968850986Z;1038;santorsola-tensio-5
5;100;3532;2024-07-01T16:52:03.895711650Z;1038;santorsola-tensio-5
5;100;3532;2024-07-01T17:12:03.844458850Z;1038;santorsola-tensio-5
5;100;3530;2024-07-01T17:32:03.773602192Z;1038;santorsola-tensio-5
6;100;3530;2024-07-01T17:52:03.718179903Z;1038;santorsola-tensio-5
6;100;3530;2024-07-01T18:12:03.724311135Z;1038;santorsola-tensio-5
6;100;3528;2024-07-01T18:32:03.596451838Z;1038;santorsola-tensio-5
5;100;3528;2024-07-01T18:52:03.528490534Z;1038;santorsola-tensio-5
6;100;3526;2024-07-01T19:12:03.479225020Z;1038;santorsola-tensio-5
5;100;3526;2024-07-01T19:32:03.409462043Z;1038;santorsola-tensio-5
6;100;3525;2024-07-01T19:52:03.329873317Z;1038;santorsola-tensio-5
6;100;3525;2024-07-01T20:12:03.283945527Z;1038;santorsola-tensio-5
5;100;3523;2024-07-01T20:32:03.238112347Z;1038;santorsola-tensio-5
5;100;3523;2024-07-01T20:52:03.160163969Z;1038;santorsola-tensio-5
5;100;3521;2024-07-01T21:12:03.093262129Z;1038;santorsola-tensio-5
5;100;3521;2024-07-01T21:32:03.038757835Z;1038;santorsola-tensio-5
5;100;3519;2024-07-01T21:52:02.973347484Z;1038;santorsola-tensio-5
5;100;3519;2024-07-01T22:12:02.924035203Z;1038;santorsola-tensio-5
5;100;3518;2024-07-01T22:32:02.844883704Z;1038;santorsola-tensio-5
5;100;3518;2024-07-01T22:52:02.786251151Z;1038;santorsola-tensio-5
5;100;3516;2024-07-01T23:12:02.707554700Z;1038;santorsola-tensio-5
5;100;3516;2024-07-01T23:32:02.657180955Z;1038;santorsola-tensio-5
6;100;3514;2024-07-01T23:52:02.589517306Z;1038;santorsola-tensio-5
5;100;3514;2024-07-02T00:12:02.519917817Z;1038;santorsola-tensio-5
6;100;3512;2024-07-02T00:52:02.406730388Z;1038;santorsola-tensio-5
5;100;3512;2024-07-02T01:12:02.336873414Z;1038;santorsola-tensio-5
5;100;3510;2024-07-02T01:32:02.280634756Z;1038;santorsola-tensio-5
5;100;3510;2024-07-02T01:52:02.209932347Z;1038;santorsola-tensio-5
5;100;3509;2024-07-02T02:12:02.143708905Z;1038;santorsola-tensio-5
5;100;3509;2024-07-02T02:32:02.123263742Z;1038;santorsola-tensio-5
5;100;3509;2024-07-02T02:52:02.044002315Z;1038;santorsola-tensio-5
5;100;3507;2024-07-02T03:12:01.962457321Z;1038;santorsola-tensio-5
5;100;3507;2024-07-02T03:32:01.889411657Z;1038;santorsola-tensio-5
5;100;3505;2024-07-02T03:52:01.882315416Z;1038;santorsola-tensio-5
5;100;3505;2024-07-02T04:12:01.801391359Z;1038;santorsola-tensio-5
5;100;3503;2024-07-02T04:32:01.722728455Z;1038;santorsola-tensio-5
5;100;3503;2024-07-02T04:52:01.646392906Z;1038;santorsola-tensio-5
5;100;3503;2024-07-02T05:12:01.572855783Z;1038;santorsola-tensio-5
5;100;3509;2024-07-02T05:32:01.563935466Z;1038;santorsola-tensio-5
5;100;3546;2024-07-02T05:52:01.482424784Z;1038;santorsola-tensio-5
5;100;3537;2024-07-02T06:12:01.412485405Z;1038;santorsola-tensio-5
5;100;3539;2024-07-02T06:32:01.333226852Z;1038;santorsola-tensio-5
6;100;3540;2024-07-02T07:12:01.242764122Z;1038;santorsola-tensio-5
6;100;3539;2024-07-02T07:32:01.248157332Z;1038;santorsola-tensio-5
6;100;3537;2024-07-02T07:52:01.169866467Z;1038;santorsola-tensio-5
