dewpoint;batteryValue;temperature;humidity;vaporPressureDeficit;batteryLevel;receivedAt;device;providerDeviceId
12.3;3618;21.4;56.2;1.12;100;2025-04-03T10:13:49.847533089Z;1635;santorsola-thrd-24
13.7;3642;35.1;27.5;4.1;100;2025-04-30T13:22:23.652321262Z;1635;santorsola-thrd-24
12.2;3636;22.1;53.4;1.24;100;2025-04-30T13:42:21.976851293Z;1635;santorsola-thrd-24
12.9;3636;28;39.3;2.29;100;2025-04-30T14:02:21.730625075Z;1635;santorsola-thrd-24
17.5;3642;36.8;31.9;4.23;100;2025-04-30T14:22:21.498233054Z;1635;santorsola-thrd-24
15.2;3642;33.4;33.3;3.43;100;2025-04-30T14:42:21.273342656Z;1635;santorsola-thrd-24
16.4;3642;28.2;48.9;1.95;100;2025-04-30T15:02:21.046123573Z;1635;santorsola-thrd-24
13.1;3636;23.1;53.5;1.31;100;2025-04-30T15:22:20.799415352Z;1635;santorsola-thrd-24
12.8;3636;21.4;58.1;1.07;100;2025-04-30T15:42:20.548005578Z;1635;santorsola-thrd-24
14.5;3636;23.9;55.8;1.31;100;2025-04-30T16:02:20.317959936Z;1635;santorsola-thrd-24
15.5;3636;23.3;61.5;1.1;100;2025-04-30T16:22:20.089319561Z;1635;santorsola-thrd-24
14;3636;22.4;59.3;1.1;100;2025-04-30T16:42:19.840074887Z;1635;santorsola-thrd-24
12.5;3636;22.1;54.5;1.21;100;2025-04-30T17:02:19.597264932Z;1635;santorsola-thrd-24
12.5;3636;20.7;59.5;0.99;100;2025-04-30T17:22:19.358356317Z;1635;santorsola-thrd-24
12.9;3636;19;67.8;0.71;100;2025-04-30T17:42:19.136518390Z;1635;santorsola-thrd-24
12.1;3636;18;68.7;0.65;100;2025-04-30T18:02:18.891740996Z;1635;santorsola-thrd-24
11.3;3636;17.5;67.3;0.65;100;2025-04-30T18:22:18.651772852Z;1635;santorsola-thrd-24
10.7;3636;16.4;69.4;0.57;100;2025-04-30T18:42:18.411869245Z;1635;santorsola-thrd-24
11.1;3636;16.5;70.7;0.55;100;2025-04-30T19:02:18.180761164Z;1635;santorsola-thrd-24
11.6;3636;14.6;82.1;0.3;100;2025-04-30T19:22:17.941431579Z;1635;santorsola-thrd-24
11;3636;14.5;79.8;0.33;100;2025-04-30T19:42:17.710243443Z;1635;santorsola-thrd-24
