dewpoint;vaporPressureDeficit;batteryValue;temperature;humidity;batteryLevel;receivedAt;device;providerDeviceId
12.5;4.06;3683;34.6;26.2;100;2025-04-30T13:36:23.648865262Z;551;santorsola-thrd-5
13.4;2.86;3683;30.6;34.9;100;2025-04-30T14:16:22.226606727Z;551;santorsola-thrd-5
15.3;2.78;3675;31.1;38.4;100;2025-04-30T14:36:22.171838161Z;551;santorsola-thrd-5
12;1.72;3683;24.8;44.9;100;2025-04-30T14:56:22.174275268Z;551;santorsola-thrd-5
12.3;1.22;3683;22.1;54;100;2025-04-30T15:16:22.157482630Z;551;santorsola-thrd-5
12.3;0.96;3683;20.4;60;100;2025-04-30T15:36:22.141352011Z;551;santorsola-thrd-5
12.7;0.96;3683;20.6;60.6;100;2025-04-30T15:56:22.130119105Z;551;santorsola-thrd-5
12.9;1.12;3683;21.8;57.3;100;2025-04-30T16:16:22.110435839Z;551;santorsola-thrd-5
13;0.76;3683;19.5;66.3;100;2025-04-30T16:36:21.778237595Z;551;santorsola-thrd-5
12.9;1;3683;21;59.8;100;2025-04-30T16:56:22.078450618Z;551;santorsola-thrd-5
11.6;1.07;3683;20.7;56.3;100;2025-04-30T17:16:22.058086058Z;551;santorsola-thrd-5
11.2;0.91;3683;19.4;59.4;100;2025-04-30T17:36:21.729730637Z;551;santorsola-thrd-5
11.6;0.7;3681;18.1;66.1;100;2025-04-30T17:56:22.016805483Z;551;santorsola-thrd-5
10.6;0.74;3681;17.7;63.5;100;2025-04-30T18:16:22.006872327Z;551;santorsola-thrd-5
10.3;0.61;3683;16.4;67.5;100;2025-04-30T18:36:21.930503623Z;551;santorsola-thrd-5
10.3;0.62;3683;16.5;66.8;100;2025-04-30T18:56:21.970772024Z;551;santorsola-thrd-5
10.7;0.41;3683;15;75.9;100;2025-04-30T19:16:21.954644780Z;551;santorsola-thrd-5
10.4;0.4;3683;14.6;76;100;2025-04-30T19:36:21.936080181Z;551;santorsola-thrd-5
10.5;0.43;3683;15;74.6;100;2025-04-30T19:56:21.912335329Z;551;santorsola-thrd-5
10.3;0.36;3686;14.2;77.7;100;2025-04-30T20:16:21.583075022Z;551;santorsola-thrd-5
10.5;0.33;3686;14;79.4;100;2025-04-30T20:36:21.865863966Z;551;santorsola-thrd-5
10.5;0.24;3683;13.1;84.2;100;2025-04-30T20:56:21.862123397Z;551;santorsola-thrd-5
10.3;0.28;3683;13.4;81.9;100;2025-04-30T21:16:21.843778881Z;551;santorsola-thrd-5
10.4;0.2;3686;12.7;86.2;100;2025-04-30T21:36:21.832241563Z;551;santorsola-thrd-5
10.3;0.16;3686;12.1;88.8;100;2025-04-30T21:56:21.809952251Z;551;santorsola-thrd-5
10.1;0.15;3683;11.8;89.3;100;2025-04-30T22:16:21.792800330Z;551;santorsola-thrd-5
10.2;0.15;3683;12;89.1;100;2025-04-30T22:36:21.775313806Z;551;santorsola-thrd-5
10.4;0.16;3683;12.2;88.7;100;2025-04-30T22:56:21.767528434Z;551;santorsola-thrd-5
10.1;0.1;3683;11.3;92.2;100;2025-04-30T23:16:21.736043608Z;551;santorsola-thrd-5
9.9;0.11;3686;11.2;91.5;100;2025-04-30T23:36:21.728347964Z;551;santorsola-thrd-5
9.5;0.1;3683;10.7;92.6;100;2025-04-30T23:56:21.708616607Z;551;santorsola-thrd-5
9.8;0.12;3683;11.2;91;100;2025-05-01T00:16:21.689133283Z;551;santorsola-thrd-5
9.5;0.07;3686;10.4;94.2;100;2025-05-01T00:36:21.680048079Z;551;santorsola-thrd-5
9.4;0.07;3683;10.3;94.5;100;2025-05-01T00:56:21.665879289Z;551;santorsola-thrd-5
8.9;0.07;3686;9.8;94.5;100;2025-05-01T01:16:21.640464797Z;551;santorsola-thrd-5
9;0.06;3686;9.7;95.2;100;2025-05-01T01:36:21.631609375Z;551;santorsola-thrd-5
8.9;0.05;3683;9.6;95.6;100;2025-05-01T01:56:21.617028573Z;551;santorsola-thrd-5
9.5;0.05;3686;10.1;96.3;100;2025-05-01T02:16:21.545157857Z;551;santorsola-thrd-5
8.5;0.05;3683;9.2;95.4;100;2025-05-01T02:36:21.271340100Z;551;santorsola-thrd-5
8.5;0.04;3683;9;96.6;100;2025-05-01T02:56:21.575720590Z;551;santorsola-thrd-5
8.4;0.04;3683;9;96.3;100;2025-05-01T03:16:21.553420491Z;551;santorsola-thrd-5
8.4;0.03;3686;8.9;97;100;2025-05-01T03:36:21.531563359Z;551;santorsola-thrd-5
8.7;0.03;3683;9.1;97.1;100;2025-05-01T03:56:21.522202847Z;551;santorsola-thrd-5
8;0.03;3683;8.5;97;100;2025-05-01T04:16:21.521243992Z;551;santorsola-thrd-5
8.1;0.03;3686;8.6;96.9;100;2025-05-01T04:36:21.490607140Z;551;santorsola-thrd-5
8.9;0.04;3686;9.4;96.8;100;2025-05-01T04:56:21.477950452Z;551;santorsola-thrd-5
9.8;0.08;3686;10.7;94;100;2025-05-01T05:16:21.399339505Z;551;santorsola-thrd-5
10.7;0.13;3683;12.2;90.6;100;2025-05-01T05:36:21.469628424Z;551;santorsola-thrd-5
11.7;0.26;3686;14.4;84;100;2025-05-01T05:56:21.118554437Z;551;santorsola-thrd-5
12.3;0.45;3686;16.6;76;100;2025-05-01T06:16:21.419678110Z;551;santorsola-thrd-5
13;0.67;3686;18.8;69.2;100;2025-05-01T06:36:21.388339369Z;551;santorsola-thrd-5
14;0.82;3686;20.6;66.1;100;2025-05-01T06:56:21.372819461Z;551;santorsola-thrd-5
13.5;1.14;3683;22.3;57.6;100;2025-05-01T07:16:21.055150325Z;551;santorsola-thrd-5
13.6;1.32;3686;23.4;54.3;100;2025-05-01T07:36:21.354164378Z;551;santorsola-thrd-5
14.2;1.47;3683;24.6;52.4;100;2025-05-01T07:56:21.344223565Z;551;santorsola-thrd-5
15.8;1.45;3683;25.4;55.4;100;2025-05-01T08:16:21.342866402Z;551;santorsola-thrd-5
14.5;1.73;3683;26.1;48.8;100;2025-05-01T08:36:21.335264351Z;551;santorsola-thrd-5
14.7;1.85;3683;26.8;47.4;100;2025-05-01T08:56:21.335172061Z;551;santorsola-thrd-5
13.9;2.17;3683;27.9;42.3;100;2025-05-01T09:16:21.317246880Z;551;santorsola-thrd-5
14.1;2.19;3683;28.1;42.3;100;2025-05-01T09:36:21.320647559Z;551;santorsola-thrd-5
14.9;2.24;3683;28.7;43;100;2025-05-01T09:56:21.315219671Z;551;santorsola-thrd-5
14.6;2.44;3683;29.4;40.4;100;2025-05-01T10:16:21.300889965Z;551;santorsola-thrd-5
14.9;2.72;3683;30.7;38.3;100;2025-05-01T10:36:21.302194470Z;551;santorsola-thrd-5
15.2;2.62;3683;30.4;39.7;100;2025-05-01T10:56:21.298798522Z;551;santorsola-thrd-5
13.9;2.66;3683;30;37.4;100;2025-05-01T11:16:21.290356789Z;551;santorsola-thrd-5
15.3;2.66;3683;30.6;39.4;100;2025-05-01T11:36:21.280333715Z;551;santorsola-thrd-5
16.3;2.59;3683;30.8;41.7;100;2025-05-01T11:56:21.286709529Z;551;santorsola-thrd-5
16;3.14;3683;32.7;36.6;100;2025-05-01T12:16:21.273737461Z;551;santorsola-thrd-5
15;2.95;3683;31.6;36.5;100;2025-05-01T12:36:21.272652786Z;551;santorsola-thrd-5
12.9;1.81;3681;25.7;45.1;100;2025-05-01T12:56:21.276828995Z;551;santorsola-thrd-5
14.4;2.88;3683;31.1;36.2;100;2025-05-01T13:16:20.945883296Z;551;santorsola-thrd-5
15.4;3.01;3681;32;36.7;100;2025-05-01T13:36:21.261488587Z;551;santorsola-thrd-5
17.2;2.75;3681;31.8;41.5;100;2025-05-01T13:56:21.259927021Z;551;santorsola-thrd-5
15.1;3.26;3681;32.8;34.4;100;2025-05-01T14:16:21.254838992Z;551;santorsola-thrd-5
14.5;1.57;3681;25.3;51.3;100;2025-05-01T14:36:21.259287579Z;551;santorsola-thrd-5
15.9;1.25;3673;24.4;59.2;100;2025-05-01T14:56:21.201111153Z;551;santorsola-thrd-5
15.6;0.87;3681;22;67.1;100;2025-05-01T15:16:21.183155224Z;551;santorsola-thrd-5
16.2;1.43;3681;25.6;56.3;100;2025-05-01T15:36:21.231722742Z;551;santorsola-thrd-5
15.1;1.69;3681;26.2;50.4;100;2025-05-01T15:56:21.209829375Z;551;santorsola-thrd-5
15;1.54;3681;25.4;52.6;100;2025-05-01T16:16:21.213122659Z;551;santorsola-thrd-5
14.8;1.28;3681;23.9;56.9;100;2025-05-01T16:36:21.138039884Z;551;santorsola-thrd-5
14;1.08;3681;22.2;59.7;100;2025-05-01T16:56:20.875448455Z;551;santorsola-thrd-5
14;0.89;3681;21;64.3;100;2025-05-01T17:16:21.194370025Z;551;santorsola-thrd-5
13.6;0.76;3681;19.9;67.2;100;2025-05-01T17:36:21.148673877Z;551;santorsola-thrd-5
14;0.63;3683;19.2;71.9;100;2025-05-01T17:56:21.130381725Z;551;santorsola-thrd-5
13.7;0.6;3681;18.8;72.5;100;2025-05-01T18:16:21.119435419Z;551;santorsola-thrd-5
13.2;0.54;3683;18;73.7;100;2025-05-01T18:36:21.105784899Z;551;santorsola-thrd-5
13.5;0.44;3683;17.4;77.8;100;2025-05-01T18:56:21.089550429Z;551;santorsola-thrd-5
13.1;0.43;3681;17;78;100;2025-05-01T19:16:21.063891676Z;551;santorsola-thrd-5
13.2;0.41;3681;16.9;78.9;100;2025-05-01T19:36:20.730533223Z;551;santorsola-thrd-5
12.9;0.4;3683;16.6;79;100;2025-05-01T19:56:20.709788695Z;551;santorsola-thrd-5
12.9;0.36;3681;16.3;80.4;100;2025-05-01T20:16:21.002685150Z;551;santorsola-thrd-5
12.8;0.35;3683;16.1;81.1;100;2025-05-01T20:36:20.992079057Z;551;santorsola-thrd-5
12.7;0.36;3683;16.1;80.5;100;2025-05-01T20:56:20.973150192Z;551;santorsola-thrd-5
12.5;0.32;3683;15.6;81.7;100;2025-05-01T21:16:20.950455446Z;551;santorsola-thrd-5
12.3;0.25;3683;14.8;85;100;2025-05-01T21:36:20.865384500Z;551;santorsola-thrd-5
12.1;0.21;3681;14.3;86.9;100;2025-05-01T21:56:20.918702675Z;551;santorsola-thrd-5
12.2;0.24;3683;14.6;85.4;100;2025-05-01T22:16:20.901322984Z;551;santorsola-thrd-5
11.7;0.17;3683;13.5;88.9;100;2025-05-01T22:36:20.880258796Z;551;santorsola-thrd-5
12;0.17;3683;13.8;89;100;2025-05-01T22:56:20.804863167Z;551;santorsola-thrd-5
11.7;0.14;3683;13.2;90.7;100;2025-05-01T23:16:20.521051727Z;551;santorsola-thrd-5
11.5;0.13;3683;12.9;91.2;100;2025-05-01T23:36:20.830135444Z;551;santorsola-thrd-5
