dewpoint;batteryValue;temperature;humidity;vaporPressureDeficit;batteryLevel;receivedAt;device;providerDeviceId
15.9;3648;18.5;85;0.32;100;2024-06-30T22:15:06.708025653Z;976;santorsola-thrd-6
15.9;3648;18;87.4;0.26;100;2024-06-30T22:35:06.409973452Z;976;santorsola-thrd-6
15.9;3648;18.2;86.7;0.28;100;2024-06-30T22:55:06.123553842Z;976;santorsola-thrd-6
15.7;3648;17.5;89.4;0.21;100;2024-06-30T23:15:05.773992977Z;976;santorsola-thrd-6
15.5;3648;17.2;89.8;0.2;100;2024-06-30T23:35:05.464099781Z;976;santorsola-thrd-6
15.6;3648;17;91.7;0.16;100;2024-06-30T23:55:05.162412223Z;976;santorsola-thrd-6
15.5;3648;17;91;0.17;100;2024-07-01T00:15:04.836977826Z;976;santorsola-thrd-6
15.6;3648;16.8;92.4;0.15;100;2024-07-01T00:35:04.518157743Z;976;santorsola-thrd-6
15.6;3648;16.8;92.6;0.14;100;2024-07-01T00:55:04.198354829Z;976;santorsola-thrd-6
15.5;3648;16.7;92.8;0.14;100;2024-07-01T01:15:03.879918798Z;976;santorsola-thrd-6
15.3;3648;16.4;93.2;0.13;100;2024-07-01T01:35:03.579151947Z;976;santorsola-thrd-6
15.3;3648;16.3;93.8;0.11;100;2024-07-01T01:55:03.266525428Z;976;santorsola-thrd-6
15.2;3648;16.2;94.1;0.11;100;2024-07-01T02:15:02.938763336Z;976;santorsola-thrd-6
15.7;3648;16.6;94.3;0.11;100;2024-07-01T02:35:02.629599512Z;976;santorsola-thrd-6
15.4;3648;16.3;94.2;0.11;100;2024-07-01T02:55:02.320578496Z;976;santorsola-thrd-6
15.3;3648;16.2;94.4;0.1;100;2024-07-01T03:15:01.997345758Z;976;santorsola-thrd-6
15.4;3648;16.2;95.1;0.09;100;2024-07-01T03:35:01.681769220Z;976;santorsola-thrd-6
16;3648;16.8;94.8;0.1;100;2024-07-01T03:55:01.370388201Z;976;santorsola-thrd-6
15.9;3648;16.9;94;0.12;100;2024-07-01T04:15:01.086983014Z;976;santorsola-thrd-6
16.6;3648;17.7;93.1;0.14;100;2024-07-01T04:35:00.761715348Z;976;santorsola-thrd-6
16.7;3648;18.4;90.1;0.21;100;2024-07-01T04:55:00.444246477Z;976;santorsola-thrd-6
16.9;3648;19.2;86.8;0.29;100;2024-07-01T05:15:00.121371065Z;976;santorsola-thrd-6
17;3648;19.7;84.4;0.36;100;2024-07-01T05:34:59.806088622Z;976;santorsola-thrd-6
17.9;3648;21.9;78.1;0.58;100;2024-07-01T05:54:59.480983412Z;976;santorsola-thrd-6
17.4;3648;21.8;76.3;0.62;100;2024-07-01T06:14:59.177207591Z;976;santorsola-thrd-6
18.1;3648;24.9;66;1.07;100;2024-07-01T06:34:58.859372485Z;976;santorsola-thrd-6
17.4;3648;26.4;57.6;1.46;100;2024-07-01T06:54:58.557430703Z;976;santorsola-thrd-6
17.9;3648;28.2;53.7;1.77;100;2024-07-01T07:14:58.252987377Z;976;santorsola-thrd-6
17.8;3648;26.8;58;1.48;100;2024-07-01T07:34:57.958244385Z;976;santorsola-thrd-6
18.9;3648;28.6;55.7;1.73;100;2024-07-01T07:54:57.650567223Z;976;santorsola-thrd-6
