date,treatment,tunnel,fruit_weight(g),firmness,acidity(meq/100g),brix(Bx%),ratio acidity/Bx
20/05/2025,shaded,,37.82,,15.03,7.9,0.525615436
20/05/2025,shaded,,40,,15.03,7.9,0.525615436
20/05/2025,shaded,,28.24,,15.03,7.9,0.525615436
20/05/2025,shaded,,43.14,,15.03,7.9,0.525615436
20/05/2025,shaded,,37.06,,15.03,7.9,0.525615436
20/05/2025,shaded,,38.5,,15.03,7.9,0.525615436
20/05/2025,shaded,,38.33,,15.03,7.9,0.525615436
20/05/2025,shaded,,40.32,,15.03,7.9,0.525615436
20/05/2025,control,,48.34,,14.73,7.7,0.522742702
20/05/2025,control,,45.6,,14.73,7.7,0.522742702
20/05/2025,control,,46.84,,14.73,7.7,0.522742702
20/05/2025,control,,42.63,,14.73,7.7,0.522742702
20/05/2025,control,,42.07,,14.73,7.7,0.522742702
20/05/2025,control,,41.82,,14.73,7.7,0.522742702
20/05/2025,control,,37.21,,14.73,7.7,0.522742702
20/05/2025,control,,45.88,,14.73,7.7,0.522742702
23/05/2025,shaded,S1,37,,12.36,7,0.566343042
23/05/2025,shaded,S1,36.7,,12.36,7,0.566343042
23/05/2025,shaded,S1,40.7,,12.36,7,0.566343042
23/05/2025,shaded,S1,32.6,,12.36,7,0.566343042
23/05/2025,shaded,S1,37.6,,12.36,7,0.566343042
23/05/2025,shaded,S1,30.9,,12.36,7,0.566343042
23/05/2025,shaded,S1,19.6,,12.36,7,0.566343042
23/05/2025,shaded,S1,29.7,,12.36,7,0.566343042
23/05/2025,shaded,S1,17.5,,12.36,7,0.566343042
23/05/2025,shaded,S1,23.7,,12.36,7,0.566343042
23/05/2025,shaded,S1,41.2,,12.36,7,0.566343042
23/05/2025,shaded,S1,38.5,,12.36,7,0.566343042
23/05/2025,shaded,S1,30.2,,12.36,7,0.566343042
23/05/2025,shaded,S1,47,,12.36,7,0.566343042
23/05/2025,shaded,S1,40.8,,12.36,7,0.566343042
23/05/2025,shaded,S1,34.5,,12.36,7,0.566343042
23/05/2025,shaded,S1,35.6,,12.36,7,0.566343042
23/05/2025,shaded,S1,42.8,,12.36,7,0.566343042
23/05/2025,shaded,S1,48.8,,12.36,7,0.566343042
23/05/2025,shaded,S1,32.7,,12.36,7,0.566343042
23/05/2025,shaded,S1,40.9,,12.36,7,0.566343042
23/05/2025,shaded,S1,39.6,,12.36,7,0.566343042
23/05/2025,shaded,S1,29.9,,12.36,7,0.566343042
23/05/2025,shaded,S1,40.2,,12.36,7,0.566343042
23/05/2025,shaded,S1,34.8,,12.36,7,0.566343042
23/05/2025,shaded,S1,32.9,,12.36,7,0.566343042
23/05/2025,shaded,S1,22.5,,12.36,7,0.566343042
23/05/2025,shaded,S2,56,,11.48,7.4,0.644599303
23/05/2025,shaded,S2,43.6,,11.48,7.4,0.644599303
23/05/2025,shaded,S2,48.6,,11.48,7.4,0.644599303
23/05/2025,shaded,S2,42.4,,11.48,7.4,0.644599303
23/05/2025,shaded,S2,40.3,,11.48,7.4,0.644599303
23/05/2025,shaded,S2,23.2,,11.48,7.4,0.644599303
23/05/2025,shaded,S2,51.4,,11.48,7.4,0.644599303
23/05/2025,shaded,S2,35.8,,11.48,7.4,0.644599303
23/05/2025,shaded,S2,36.9,,11.48,7.4,0.644599303
23/05/2025,shaded,S2,26.3,,11.48,7.4,0.644599303
23/05/2025,shaded,S2,49.6,,11.48,7.4,0.644599303
23/05/2025,shaded,S2,42.7,,11.48,7.4,0.644599303
23/05/2025,shaded,S2,50.4,,11.48,7.4,0.644599303
23/05/2025,shaded,S2,26.3,,11.48,7.4,0.644599303
23/05/2025,shaded,S2,51.4,,11.48,7.4,0.644599303
23/05/2025,shaded,S2,36.9,,11.48,7.4,0.644599303
23/05/2025,shaded,S2,35.8,,11.48,7.4,0.644599303
23/05/2025,shaded,S2,38.6,,11.48,7.4,0.644599303
23/05/2025,shaded,S2,42.8,,11.48,7.4,0.644599303
23/05/2025,shaded,S2,49.2,,11.48,7.4,0.644599303
23/05/2025,shaded,S2,22.1,,11.48,7.4,0.644599303
23/05/2025,shaded,S2,45.2,,11.48,7.4,0.644599303
23/05/2025,shaded,S2,44,,11.48,7.4,0.644599303
23/05/2025,shaded,S2,41,,11.48,7.4,0.644599303
23/05/2025,shaded,S2,53.5,,11.48,7.4,0.644599303
23/05/2025,shaded,S2,42.8,,11.48,7.4,0.644599303
23/05/2025,shaded,S2,34,,11.48,7.4,0.644599303
23/05/2025,shaded,S3,49.4,,13.31,7.3,0.548459805
23/05/2025,shaded,S3,23.3,,13.31,7.3,0.548459805
23/05/2025,shaded,S3,45.4,,13.31,7.3,0.548459805
23/05/2025,shaded,S3,37.3,,13.31,7.3,0.548459805
23/05/2025,shaded,S3,49,,13.31,7.3,0.548459805
23/05/2025,shaded,S3,39.9,,13.31,7.3,0.548459805
23/05/2025,shaded,S3,45.1,,13.31,7.3,0.548459805
23/05/2025,shaded,S3,55.9,,13.31,7.3,0.548459805
23/05/2025,shaded,S3,47.8,,13.31,7.3,0.548459805
23/05/2025,shaded,S3,27.5,,13.31,7.3,0.548459805
23/05/2025,shaded,S3,61.1,,13.31,7.3,0.548459805
23/05/2025,shaded,S3,44.4,,13.31,7.3,0.548459805
23/05/2025,shaded,S3,43,,13.31,7.3,0.548459805
23/05/2025,shaded,S3,44.3,,13.31,7.3,0.548459805
23/05/2025,shaded,S3,21.9,,13.31,7.3,0.548459805
23/05/2025,shaded,S3,19.7,,13.31,7.3,0.548459805
23/05/2025,shaded,S3,54.3,,13.31,7.3,0.548459805
23/05/2025,shaded,S3,53.1,,13.31,7.3,0.548459805
23/05/2025,shaded,S3,42.9,,13.31,7.3,0.548459805
23/05/2025,shaded,S3,41.8,,13.31,7.3,0.548459805
23/05/2025,control,C1,49.7,,10.47,7.4,0.70678128
23/05/2025,control,C1,33.2,,10.47,7.4,0.70678128
23/05/2025,control,C1,35.6,,10.47,7.4,0.70678128
23/05/2025,control,C1,21.6,,10.47,7.4,0.70678128
23/05/2025,control,C1,43.6,,10.47,7.4,0.70678128
23/05/2025,control,C1,20.2,,10.47,7.4,0.70678128
23/05/2025,control,C1,41.1,,10.47,7.4,0.70678128
23/05/2025,control,C1,27.4,,10.47,7.4,0.70678128
23/05/2025,control,C1,41.4,,10.47,7.4,0.70678128
23/05/2025,control,C1,34.2,,10.47,7.4,0.70678128
23/05/2025,control,C1,43.6,,10.47,7.4,0.70678128
23/05/2025,control,C1,24.3,,10.47,7.4,0.70678128
23/05/2025,control,C1,30.4,,10.47,7.4,0.70678128
23/05/2025,control,C1,51.9,,10.47,7.4,0.70678128
23/05/2025,control,C1,38.8,,10.47,7.4,0.70678128
23/05/2025,control,C1,33.6,,10.47,7.4,0.70678128
23/05/2025,control,C1,23.5,,10.47,7.4,0.70678128
23/05/2025,control,C1,39.2,,10.47,7.4,0.70678128
23/05/2025,control,C1,32.2,,10.47,7.4,0.70678128
23/05/2025,control,C1,47.7,,10.47,7.4,0.70678128
23/05/2025,control,C1,28.8,,10.47,7.4,0.70678128
23/05/2025,control,C1,33.8,,10.47,7.4,0.70678128
23/05/2025,control,C1,26.8,,10.47,7.4,0.70678128
