date,treatment,tunnel,plant ID,leaf no.,petiole length mean (cm)
3/27/2025,shaded,S1,1,11,8.055555556
3/27/2025,shaded,S1,2,5,9.26
3/27/2025,shaded,S1,3,16,8.621428571
3/27/2025,shaded,S1,4,9,5.788888889
3/27/2025,shaded,S1,5,10,6.91
3/27/2025,shaded,S2,1,8,7.744444444
3/27/2025,shaded,S2,2,5,9.2
3/27/2025,shaded,S2,3,14,8.258333333
3/27/2025,shaded,S2,4,12,8.8
3/27/2025,shaded,S2,5,9,6.625
3/27/2025,shaded,S3,1,15,8.309090909
3/27/2025,shaded,S3,2,10,8.65
3/27/2025,shaded,S3,3,16,9.96
3/27/2025,shaded,S3,4,11,8.2
3/27/2025,shaded,S3,5,12,7.454545455
3/27/2025,control,C1,1,18,10.65714286
3/27/2025,control,C1,2,14,9.783333333
3/27/2025,control,C1,3,20,7.7
3/27/2025,control,C1,4,12,9.225
3/27/2025,control,C1,5,11,9.554545455
3/27/2025,control,C2,1,15,9.208333333
3/27/2025,control,C2,2,10,10
3/27/2025,control,C2,3,13,10.425
3/27/2025,control,C2,4,20,8.733333333
3/27/2025,control,C2,5,11,8.04
3/27/2025,control,C3,1,11,10.25
3/27/2025,control,C3,2,16,11.47692308
3/27/2025,control,C3,3,13,10.39333333
3/27/2025,control,C3,4,13,9.084615385
3/27/2025,control,C3,5,9,8.511111111
04/10/2025,shaded,S1,1,14,12.32857143
04/10/2025,shaded,S1,2,8,16.19090909
04/10/2025,shaded,S1,3,29,15.8047619
04/10/2025,shaded,S1,4,12,14.75
04/10/2025,shaded,S1,5,10,13.95555556
04/10/2025,shaded,S2,1,12,15.175
04/10/2025,shaded,S2,2,7,14.9875
04/10/2025,shaded,S2,3,21,13.17333333
04/10/2025,shaded,S2,4,16,14.75882353
04/10/2025,shaded,S2,5,12,12.08888889
04/10/2025,shaded,S3,1,16,14.48333333
04/10/2025,shaded,S3,2,14,13.74
04/10/2025,shaded,S3,3,22,15.11428571
04/10/2025,shaded,S3,4,17,15.32857143
04/10/2025,shaded,S3,5,16,12.9
04/10/2025,control,C1,1,24,16.03636364
04/10/2025,control,C1,2,22,14.93684211
04/10/2025,control,C1,3,23,13.75714286
04/10/2025,control,C1,4,18,16.3
04/10/2025,control,C1,5,16,16.51428571
04/10/2025,control,C2,1,22,15.12
04/10/2025,control,C2,2,19,17.44375
04/10/2025,control,C2,3,21,16.04375
04/10/2025,control,C2,4,28,13.92272727
04/10/2025,control,C2,5,18,13.53333333
04/10/2025,control,C3,1,16,13.97142857
04/10/2025,control,C3,2,20,16.375
04/10/2025,control,C3,3,22,15.705
04/10/2025,control,C3,4,20,13.65625
04/10/2025,control,C3,5,12,13.49090909
