dewpoint;batteryValue;temperature;humidity;vaporPressureDeficit;batteryLevel;receivedAt;device;providerDeviceId
11.9;3618;20;59.8;0.94;100;2025-04-03T10:20:38.653049528Z;1630;santorsola-thrd-19
10.5;3618;17.5;63.7;0.73;100;2025-04-17T13:42:26.575380231Z;1630;santorsola-thrd-19
10.6;3618;17;66.2;0.65;100;2025-04-17T13:43:09.396981347Z;1630;santorsola-thrd-19
10.5;3618;16.4;68.5;0.59;100;2025-04-17T14:03:07.735026136Z;1630;santorsola-thrd-19
9;3618;13.9;72.4;0.44;100;2025-04-17T14:23:07.514881510Z;1630;santorsola-thrd-19
9.6;3618;13.5;77.5;0.35;100;2025-04-17T14:43:07.296073357Z;1630;santorsola-thrd-19
9.4;3612;13.3;77.2;0.35;100;2025-04-17T15:03:07.085529445Z;1630;santorsola-thrd-19
9.7;3618;13.7;77.2;0.36;100;2025-04-17T15:23:06.863339012Z;1630;santorsola-thrd-19
9.8;3618;13.4;78.9;0.32;100;2025-04-17T15:43:06.643793474Z;1630;santorsola-thrd-19
9.5;3612;12.4;82.7;0.25;100;2025-04-17T16:03:06.426427947Z;1630;santorsola-thrd-19
9.4;3612;11.3;88.2;0.16;100;2025-04-17T16:23:06.208293135Z;1630;santorsola-thrd-19
9.1;3612;10.8;89.6;0.13;100;2025-04-17T16:43:05.999250012Z;1630;santorsola-thrd-19
8.8;3612;10.2;91.2;0.11;100;2025-04-17T17:03:05.790359641Z;1630;santorsola-thrd-19
8.9;3612;10.1;92.1;0.1;100;2025-04-17T17:23:05.575415604Z;1630;santorsola-thrd-19
8.6;3612;9.8;92.1;0.1;100;2025-04-17T17:43:05.368793395Z;1630;santorsola-thrd-19
8.5;3612;9.8;91.5;0.1;100;2025-04-17T18:03:05.175234449Z;1630;santorsola-thrd-19
8.6;3612;9.6;93.3;0.08;100;2025-04-17T18:23:04.941457504Z;1630;santorsola-thrd-19
8.3;3612;9.5;92;0.09;100;2025-04-17T18:43:04.727612108Z;1630;santorsola-thrd-19
8.4;3612;9.4;93.3;0.08;100;2025-04-17T19:03:04.526158350Z;1630;santorsola-thrd-19
8.3;3612;9.4;92.8;0.08;100;2025-04-17T19:23:04.352495587Z;1630;santorsola-thrd-19
8.4;3612;9.3;94.2;0.07;100;2025-04-17T19:43:04.099195751Z;1630;santorsola-thrd-19
8.5;3612;9.2;95.2;0.06;100;2025-04-17T20:03:03.889123573Z;1630;santorsola-thrd-19
8.4;3612;9.2;95.1;0.06;100;2025-04-17T20:23:03.689887620Z;1630;santorsola-thrd-19
8.4;3612;9.2;94.9;0.06;100;2025-04-17T20:43:03.472253126Z;1630;santorsola-thrd-19
8.5;3612;9.2;95.7;0.05;100;2025-04-17T21:03:03.265161224Z;1630;santorsola-thrd-19
8.5;3606;9.1;96;0.05;100;2025-04-17T21:23:03.060732905Z;1630;santorsola-thrd-19
8.5;3612;9.1;96.2;0.04;100;2025-04-17T21:43:02.847955635Z;1630;santorsola-thrd-19
8.4;3612;9;96.2;0.04;100;2025-04-17T22:03:02.645687954Z;1630;santorsola-thrd-19
8.5;3612;9;96.8;0.04;100;2025-04-17T22:23:02.414783596Z;1630;santorsola-thrd-19
8.5;3612;9;96.4;0.04;100;2025-04-17T22:43:02.213208219Z;1630;santorsola-thrd-19
8.5;3612;9;96.9;0.04;100;2025-04-17T23:03:02.009445990Z;1630;santorsola-thrd-19
8.4;3612;8.9;96.7;0.04;100;2025-04-17T23:23:01.793613226Z;1630;santorsola-thrd-19
8.3;3612;8.9;96;0.05;100;2025-04-17T23:43:01.589955102Z;1630;santorsola-thrd-19
8.2;3612;8.8;96.3;0.04;100;2025-04-18T00:03:01.368465013Z;1630;santorsola-thrd-19
8.2;3612;8.7;96.6;0.04;100;2025-04-18T00:23:01.159127084Z;1630;santorsola-thrd-19
8.3;3612;8.7;97.4;0.03;100;2025-04-18T00:43:00.945142393Z;1630;santorsola-thrd-19
8.2;3612;8.6;97.5;0.03;100;2025-04-18T01:03:00.747780778Z;1630;santorsola-thrd-19
8.3;3612;8.6;97.9;0.02;100;2025-04-18T01:23:00.527395623Z;1630;santorsola-thrd-19
8.1;3612;8.4;98.1;0.02;100;2025-04-18T01:43:00.322892930Z;1630;santorsola-thrd-19
8.2;3612;8.4;98.5;0.02;100;2025-04-18T02:03:00.113158192Z;1630;santorsola-thrd-19
8.3;3612;8.5;98.6;0.02;100;2025-04-18T02:22:59.950584542Z;1630;santorsola-thrd-19
8.2;3612;8.4;98.6;0.02;100;2025-04-18T02:42:59.687680664Z;1630;santorsola-thrd-19
8;3612;8.2;98.7;0.01;100;2025-04-18T03:02:59.492299917Z;1630;santorsola-thrd-19
7.9;3612;8.1;98.8;0.01;100;2025-04-18T03:22:59.274404020Z;1630;santorsola-thrd-19
7.9;3612;8.1;98.8;0.01;100;2025-04-18T03:42:59.068348220Z;1630;santorsola-thrd-19
7.7;3612;7.9;98.8;0.01;100;2025-04-18T04:02:58.856753388Z;1630;santorsola-thrd-19
7.9;3612;8;99;0.01;100;2025-04-18T04:22:58.642816192Z;1630;santorsola-thrd-19
8.2;3612;8.3;99;0.01;100;2025-04-18T04:42:58.437817576Z;1630;santorsola-thrd-19
8.3;3612;8.5;98.6;0.02;100;2025-04-18T05:02:58.226961323Z;1630;santorsola-thrd-19
8.4;3612;8.7;97.7;0.03;100;2025-04-18T05:22:58.019155641Z;1630;santorsola-thrd-19
8.8;3612;9.4;96.2;0.04;100;2025-04-18T05:42:57.817200670Z;1630;santorsola-thrd-19
8.9;3612;10.1;92.6;0.09;100;2025-04-18T06:02:57.595620242Z;1630;santorsola-thrd-19
8.9;3612;11;87;0.17;100;2025-04-18T06:22:57.400274445Z;1630;santorsola-thrd-19
10.2;3612;13.5;80.5;0.3;100;2025-04-18T06:42:57.179670328Z;1630;santorsola-thrd-19
9.4;3618;12.2;83.2;0.24;100;2025-04-18T07:02:56.962235025Z;1630;santorsola-thrd-19
11.3;3618;17.2;68.3;0.62;100;2025-04-18T07:22:56.750727977Z;1630;santorsola-thrd-19
10.2;3618;17.6;62;0.76;100;2025-04-18T07:42:56.522069482Z;1630;santorsola-thrd-19
12.3;3624;20.7;58.6;1.01;100;2025-04-18T08:02:56.300305988Z;1630;santorsola-thrd-19
9.7;3618;16.4;64.8;0.66;100;2025-04-18T08:22:56.075706611Z;1630;santorsola-thrd-19
9.2;3624;14.8;69.2;0.52;100;2025-04-18T08:42:55.864963505Z;1630;santorsola-thrd-19
11;3618;17.8;64.7;0.72;100;2025-04-18T09:02:55.643388195Z;1630;santorsola-thrd-19
9.2;3624;17;60.1;0.77;100;2025-04-18T09:22:55.432149205Z;1630;santorsola-thrd-19
10.4;3618;15.9;70;0.54;100;2025-04-18T09:42:55.209402597Z;1630;santorsola-thrd-19
8.7;3618;16.6;60;0.76;100;2025-04-18T10:02:55.005124751Z;1630;santorsola-thrd-19
10.4;3618;17;65.3;0.67;100;2025-04-18T10:22:54.788637043Z;1630;santorsola-thrd-19
10.7;3618;19.4;57.3;0.96;100;2025-04-18T10:42:54.559415339Z;1630;santorsola-thrd-19
8.9;3618;18.5;53.8;0.98;100;2025-04-18T11:02:54.348534735Z;1630;santorsola-thrd-19
9.3;3624;20.6;48.6;1.25;100;2025-04-18T11:22:54.118439853Z;1630;santorsola-thrd-19
