dewpoint;batteryValue;temperature;humidity;vaporPressureDeficit;batteryLevel;receivedAt;device;providerDeviceId
11.9;3606;21.3;55;1.14;100;2025-04-03T10:16:17.352382284Z;1633;santorsola-thrd-22
11.5;3606;21.4;53.5;1.19;100;2025-04-03T10:18:01.906397859Z;1633;santorsola-thrd-22
9.7;3606;17.2;61.4;0.76;100;2025-04-17T13:38:27.974530180Z;1633;santorsola-thrd-22
9.9;3606;14.5;73.9;0.43;100;2025-04-17T13:58:26.534471129Z;1633;santorsola-thrd-22
10.5;3606;14.2;78.8;0.34;100;2025-04-17T14:18:26.087611750Z;1633;santorsola-thrd-22
9.7;3606;14.2;74.7;0.41;100;2025-04-17T14:38:25.787301278Z;1633;santorsola-thrd-22
9.7;3606;13.7;77.1;0.36;100;2025-04-17T14:58:25.544836449Z;1633;santorsola-thrd-22
10.6;3606;14.1;79.6;0.33;100;2025-04-17T15:18:25.301267805Z;1633;santorsola-thrd-22
9.9;3606;13.4;79.7;0.31;100;2025-04-17T15:38:25.045410337Z;1633;santorsola-thrd-22
10.3;3600;12.7;85.4;0.21;100;2025-04-17T15:58:24.799515577Z;1633;santorsola-thrd-22
9.5;3606;11.6;86.8;0.18;100;2025-04-17T16:18:24.566140957Z;1633;santorsola-thrd-22
9.4;3606;10.9;90.5;0.12;100;2025-04-17T16:38:24.321058138Z;1633;santorsola-thrd-22
9.1;3606;10.4;91.8;0.1;100;2025-04-17T16:58:24.079387832Z;1633;santorsola-thrd-22
9;3606;10.1;92.9;0.09;100;2025-04-17T17:18:23.832601573Z;1633;santorsola-thrd-22
8.7;3600;9.9;92.6;0.09;100;2025-04-17T17:38:23.573022495Z;1633;santorsola-thrd-22
8.8;3606;9.9;92.9;0.09;100;2025-04-17T17:58:23.378272197Z;1633;santorsola-thrd-22
8.7;3606;9.7;93.7;0.08;100;2025-04-17T18:18:23.104966195Z;1633;santorsola-thrd-22
8.5;3606;9.6;92.8;0.09;100;2025-04-17T18:38:22.860426715Z;1633;santorsola-thrd-22
8.3;3606;9.5;92.1;0.09;100;2025-04-17T18:58:22.627716029Z;1633;santorsola-thrd-22
8.3;3606;9.4;93.2;0.08;100;2025-04-17T19:18:22.393363329Z;1633;santorsola-thrd-22
8.6;3600;9.4;95.1;0.06;100;2025-04-17T19:38:22.148045570Z;1633;santorsola-thrd-22
8.6;3606;9.3;95.2;0.06;100;2025-04-17T19:58:21.908921212Z;1633;santorsola-thrd-22
8.5;3600;9.2;95.6;0.05;100;2025-04-17T20:18:21.703204085Z;1633;santorsola-thrd-22
8.5;3606;9.2;95.6;0.05;100;2025-04-17T20:38:21.427894648Z;1633;santorsola-thrd-22
8.6;3606;9.2;95.8;0.05;100;2025-04-17T20:58:21.180204444Z;1633;santorsola-thrd-22
8.7;3600;9.2;96.4;0.04;100;2025-04-17T21:18:20.949272582Z;1633;santorsola-thrd-22
8.6;3600;9.2;96.3;0.04;100;2025-04-17T21:38:20.687559355Z;1633;santorsola-thrd-22
8.6;3606;9.1;96.5;0.04;100;2025-04-17T21:58:20.464994221Z;1633;santorsola-thrd-22
8.7;3600;9.1;97.2;0.03;100;2025-04-17T22:18:20.225798802Z;1633;santorsola-thrd-22
8.5;3606;9;96.7;0.04;100;2025-04-17T22:38:19.973014722Z;1633;santorsola-thrd-22
8.7;3606;9.1;97.2;0.03;100;2025-04-17T22:58:19.750603062Z;1633;santorsola-thrd-22
8.6;3600;9;97.3;0.03;100;2025-04-17T23:18:19.508164039Z;1633;santorsola-thrd-22
8.5;3600;9;96.7;0.04;100;2025-04-17T23:38:19.264349029Z;1633;santorsola-thrd-22
8.4;3600;8.9;97;0.03;100;2025-04-17T23:58:19.024619896Z;1633;santorsola-thrd-22
8.3;3600;8.8;97;0.03;100;2025-04-18T00:18:18.778534355Z;1633;santorsola-thrd-22
8.5;3600;8.8;97.8;0.02;100;2025-04-18T00:38:18.546879636Z;1633;santorsola-thrd-22
8.5;3600;8.8;98;0.02;100;2025-04-18T00:58:18.298701286Z;1633;santorsola-thrd-22
8.3;3600;8.6;98.1;0.02;100;2025-04-18T01:18:18.058949446Z;1633;santorsola-thrd-22
8.3;3600;8.5;98.5;0.02;100;2025-04-18T01:38:17.823121692Z;1633;santorsola-thrd-22
8.2;3600;8.4;98.7;0.01;100;2025-04-18T01:58:17.580145979Z;1633;santorsola-thrd-22
8.2;3600;8.4;98.9;0.01;100;2025-04-18T02:18:17.334221738Z;1633;santorsola-thrd-22
8.3;3600;8.5;99;0.01;100;2025-04-18T02:38:17.100983474Z;1633;santorsola-thrd-22
8.2;3606;8.3;99;0.01;100;2025-04-18T02:58:16.859851829Z;1633;santorsola-thrd-22
8;3600;8.1;99.1;0.01;100;2025-04-18T03:18:16.617453669Z;1633;santorsola-thrd-22
7.9;3600;8;99.2;0.01;100;2025-04-18T03:38:16.379208562Z;1633;santorsola-thrd-22
7.8;3606;7.9;99.3;0.01;100;2025-04-18T03:58:16.138554891Z;1633;santorsola-thrd-22
7.8;3600;7.9;99.3;0.01;100;2025-04-18T04:18:15.896146002Z;1633;santorsola-thrd-22
8.2;3600;8.3;99.5;0.01;100;2025-04-18T04:38:15.664998070Z;1633;santorsola-thrd-22
8.3;3600;8.4;99.4;0.01;100;2025-04-18T04:58:15.430045110Z;1633;santorsola-thrd-22
8.4;3600;8.6;98.7;0.01;100;2025-04-18T05:18:15.186613729Z;1633;santorsola-thrd-22
8.7;3600;9;97.9;0.02;100;2025-04-18T05:38:14.944164293Z;1633;santorsola-thrd-22
9;3606;9.9;94;0.07;100;2025-04-18T05:58:14.705950514Z;1633;santorsola-thrd-22
9.3;3600;10.9;89.8;0.13;100;2025-04-18T06:18:14.464862509Z;1633;santorsola-thrd-22
10;3600;12;87.7;0.17;100;2025-04-18T06:38:14.213227373Z;1633;santorsola-thrd-22
9.5;3606;12.5;82.3;0.26;100;2025-04-18T06:58:13.972875956Z;1633;santorsola-thrd-22
11.2;3606;17.4;67;0.66;100;2025-04-18T07:18:13.723582836Z;1633;santorsola-thrd-22
10.4;3612;18.6;59.1;0.88;100;2025-04-18T07:38:13.478599434Z;1633;santorsola-thrd-22
10.9;3606;20.1;55.7;1.04;100;2025-04-18T07:58:13.223595441Z;1633;santorsola-thrd-22
11;3612;20.7;54;1.12;100;2025-04-18T08:18:12.986392404Z;1633;santorsola-thrd-22
9.4;3606;16;65.3;0.63;100;2025-04-18T08:38:12.748373371Z;1633;santorsola-thrd-22
10.6;3606;18.3;60.8;0.82;100;2025-04-18T08:58:12.487092180Z;1633;santorsola-thrd-22
10.4;3606;19.5;55.7;1;100;2025-04-18T09:18:12.238775979Z;1633;santorsola-thrd-22
9.6;3606;15.8;66.7;0.6;100;2025-04-18T09:38:11.982121691Z;1633;santorsola-thrd-22
9.2;3606;16.4;62.7;0.7;100;2025-04-18T09:58:11.744653213Z;1633;santorsola-thrd-22
