Unnamed: 0,receivedAt,ecp_mean,temperature_mean,waterContent_mean,ecp_max,temperature_max,waterContent_max,ecp_min,temperature_min,waterContent_min,t_above_threshold,gravimetricWC,water_weight
591,2024-07-25 13:00:00+00:00,671.0,35.46666666666667,28.73333333333333,678.0,35.7,28.9,665.0,35.3,28.6,10.466666666666669,18.059920385501776,4.31
592,2024-07-25 14:00:00+00:00,733.0,33.46666666666667,28.666666666666668,764.0,34.3,28.7,714.0,32.2,28.6,8.466666666666669,18.01801801801802,4.3
593,2024-07-25 15:00:00+00:00,735.0,33.800000000000004,28.666666666666668,779.0,35.4,28.7,698.0,31.7,28.6,8.800000000000004,18.01801801801802,4.3
594,2024-07-25 16:00:00+00:00,770.3333333333334,32.63333333333333,28.433333333333334,779.0,33.3,28.5,754.0,32.2,28.4,7.633333333333333,17.871359731824846,4.265
595,2024-07-25 17:00:00+00:00,836.6666666666666,29.53333333333333,28.33333333333333,865.0,31.3,28.4,803.0,28.1,28.3,4.533333333333331,17.8085061805992,4.249999999999999
596,2024-07-25 18:00:00+00:00,886.0,26.4,28.3,899.0,27.2,28.3,874.0,25.6,28.3,1.400000000000002,17.78755499685732,4.245
597,2024-07-25 19:00:00+00:00,906.3333333333334,24.73333333333333,28.399999999999995,918.0,24.9,28.4,899.0,24.6,28.4,0.0,17.850408548082964,4.26
598,2024-07-25 20:00:00+00:00,908.6666666666666,23.7,28.46666666666667,920.0,24.3,28.5,897.0,23.1,28.4,0.0,17.89231091556673,4.2700000000000005
599,2024-07-25 21:00:00+00:00,912.6666666666666,22.3,28.5,920.0,22.7,28.5,903.0,21.9,28.5,0.0,17.91326209930861,4.2749999999999995
600,2024-07-25 22:00:00+00:00,909.6666666666666,21.3,28.633333333333336,913.0,21.6,28.7,904.0,21.0,28.6,0.0,17.997066834276136,4.295000000000001
601,2024-07-25 23:00:00+00:00,904.6666666666666,20.8,28.7,910.0,20.8,28.7,896.0,20.8,28.7,0.0,18.038969201759897,4.305
602,2024-07-26 00:00:00+00:00,891.6666666666666,20.433333333333334,28.73333333333333,897.0,20.5,28.8,884.0,20.4,28.7,0.0,18.059920385501776,4.31
