,receivedAt,dewpoint_mean,temperature_mean,humidity_mean,vaporPressureDeficit_mean,dewpoint_max,temperature_max,humidity_max,vaporPressureDeficit_max,dewpoint_min,temperature_min,humidity_min,vaporPressureDeficit_min,temperature_daytime_mean,temperature_nighttime_mean,humidity_daytime_mean,humidity_nighttime_mean,vaporPressureDeficit_daytime_mean,vaporPressureDeficit_nighttime_mean
0,2025-04-03 00:00:00+00:00,11.9,20.0,59.8,0.94,11.9,20.0,59.8,0.94,11.9,20.0,59.8,0.94,20.0,,59.8,,0.94,
1,2025-04-04 00:00:00+00:00,,,,,,,,,,,,,,,,,,
2,2025-04-05 00:00:00+00:00,,,,,,,,,,,,,,,,,,
3,2025-04-06 00:00:00+00:00,,,,,,,,,,,,,,,,,,
4,2025-04-07 00:00:00+00:00,,,,,,,,,,,,,,,,,,
5,2025-04-08 00:00:00+00:00,,,,,,,,,,,,,,,,,,
6,2025-04-09 00:00:00+00:00,,,,,,,,,,,,,,,,,,
7,2025-04-10 00:00:00+00:00,,,,,,,,,,,,,,,,,,
8,2025-04-11 00:00:00+00:00,,,,,,,,,,,,,,,,,,
9,2025-04-12 00:00:00+00:00,,,,,,,,,,,,,,,,,,
10,2025-04-13 00:00:00+00:00,,,,,,,,,,,,,,,,,,
11,2025-04-14 00:00:00+00:00,,,,,,,,,,,,,,,,,,
12,2025-04-15 00:00:00+00:00,,,,,,,,,,,,,,,,,,
13,2025-04-16 00:00:00+00:00,,,,,,,,,,,,,,,,,,
14,2025-04-17 00:00:00+00:00,8.965151515151517,11.101515151515152,87.62575757575758,0.19393939393939394,10.55,17.25,96.53333333333335,0.69,8.366666666666667,8.933333333333334,64.95,0.04,12.264285714285714,9.066666666666666,82.83571428571429,96.00833333333333,0.2776190476190476,0.0475
15,2025-04-18 00:00:00+00:00,9.933333333333334,13.520833333333334,82.00138888888888,0.39999999999999997,12.266666666666666,24.099999999999998,98.93333333333334,1.67,7.933333333333334,8.066666666666668,45.36666666666667,0.01,16.426190476190477,9.453333333333333,71.77619047619048,96.31666666666666,0.6530952380952382,0.04566666666666667
16,2025-04-19 00:00:00+00:00,9.729166666666666,12.997222222222222,81.83888888888889,0.3223611111111111,11.966666666666667,20.733333333333334,94.26666666666667,1.1333333333333333,8.266666666666666,9.366666666666667,57.5,0.06666666666666667,15.054761904761904,10.116666666666667,74.78571428571429,91.71333333333334,0.4788095238095238,0.10333333333333335
17,2025-04-20 00:00:00+00:00,10.170833333333333,15.297222222222222,74.40694444444445,0.5826388888888888,12.333333333333334,23.46666666666667,95.73333333333333,1.4766666666666666,7.766666666666667,8.4,47.86666666666667,0.04666666666666667,18.957142857142856,10.173333333333334,61.90714285714286,91.90666666666667,0.9245238095238095,0.10400000000000001
18,2025-04-21 00:00:00+00:00,10.826388888888888,14.013888888888888,83.57777777777777,0.3841666666666667,14.233333333333334,25.46666666666667,97.83333333333333,1.7233333333333334,6.666666666666667,7.0,47.333333333333336,0.023333333333333334,17.033333333333335,9.786666666666667,74.35,96.49666666666667,0.6276190476190476,0.043333333333333335
19,2025-04-22 00:00:00+00:00,10.448611111111111,14.918055555555556,77.74027777777778,0.5416666666666666,14.866666666666667,24.933333333333334,99.59999999999998,1.4733333333333334,5.733333333333333,5.833333333333333,50.4,0.0,19.383333333333333,8.666666666666668,65.22380952380952,95.26333333333334,0.881904761904762,0.06533333333333333
20,2025-04-23 00:00:00+00:00,11.506944444444445,14.738888888888889,82.74027777777778,0.3726388888888889,14.299999999999999,22.5,99.03333333333335,1.2,9.066666666666666,9.266666666666667,56.43333333333334,0.01,17.585714285714285,10.753333333333334,73.79285714285713,95.26666666666668,0.5928571428571427,0.06433333333333333
21,2025-04-24 00:00:00+00:00,12.096527777777778,14.829861111111112,85.25972222222222,0.3175,16.566666666666666,24.166666666666668,98.03333333333335,1.4466666666666665,10.333333333333334,10.75,53.06666666666666,0.02666666666666667,17.23095238095238,11.468333333333334,77.48095238095239,96.15,0.5071428571428572,0.052000000000000005
22,2025-04-25 00:00:00+00:00,9.515972222222222,12.316666666666668,84.32777777777778,0.26993055555555556,11.966666666666667,19.133333333333333,96.39999999999999,0.8166666666666668,7.949999999999999,8.933333333333334,61.96666666666667,0.04,14.426190476190476,9.363333333333333,77.0904761904762,94.46000000000001,0.41571428571428576,0.06583333333333334
23,2025-04-26 00:00:00+00:00,9.72638888888889,13.774305555555555,79.35138888888888,0.43826388888888884,11.933333333333332,22.166666666666668,99.46666666666665,1.3399999999999999,5.533333333333334,5.733333333333333,49.833333333333336,0.0033333333333333335,17.107142857142858,9.108333333333333,67.79523809523809,95.53,0.7092857142857143,0.058833333333333335
24,2025-04-27 00:00:00+00:00,11.677777777777777,15.445833333333333,81.10416666666667,0.4793055555555555,16.166666666666668,28.5,99.36666666666667,2.0533333333333332,8.333333333333334,8.466666666666667,47.26666666666667,0.01,18.926190476190474,10.573333333333334,70.37380952380953,96.12666666666667,0.7842857142857141,0.05233333333333333
25,2025-04-28 00:00:00+00:00,11.797222222222222,15.684722222222222,81.04166666666667,0.5401388888888888,18.2,26.366666666666664,100.0,1.7599999999999998,7.633333333333333,7.633333333333333,51.699999999999996,0.0,20.552380952380954,8.870000000000001,68.59285714285714,98.47,0.9128571428571428,0.018333333333333333
26,2025-04-29 00:00:00+00:00,12.27986111111111,19.03576388888889,71.0423611111111,1.109375,17.2,33.13333333333333,99.76666666666667,3.14,6.766666666666667,6.766666666666667,38.06666666666667,0.0,25.992261904761904,9.296666666666667,51.922619047619044,97.81,1.8815476190476192,0.028333333333333332
27,2025-04-30 00:00:00+00:00,13.465277777777779,19.587500000000002,72.91250000000001,1.0409722222222222,19.933333333333334,34.6,99.76666666666667,3.1833333333333336,8.833333333333334,8.866666666666667,41.63333333333333,0.0,25.976190476190478,10.643333333333334,55.635714285714286,97.1,1.755238095238095,0.041
28,2025-05-01 00:00:00+00:00,14.22638888888889,20.52777777777778,72.28472222222221,1.114861111111111,18.866666666666667,35.199999999999996,99.8,3.52,8.366666666666667,8.366666666666667,38.1,0.0,27.10952380952381,11.313333333333334,55.40714285714286,95.91333333333333,1.864285714285714,0.06566666666666668
29,2025-05-02 00:00:00+00:00,14.606944444444444,21.719444444444445,69.73055555555555,1.3222222222222222,19.733333333333334,36.666666666666664,99.56666666666666,4.033333333333333,9.733333333333333,9.799999999999999,34.53333333333333,0.0033333333333333335,28.64761904761905,12.02,51.240476190476194,95.61666666666666,2.217619047619048,0.06866666666666667
30,2025-05-03 00:00:00+00:00,14.470833333333333,18.68611111111111,79.10555555555555,0.6565277777777778,19.599999999999998,30.96666666666667,99.3,2.25,9.8,9.933333333333334,50.03333333333333,0.01,23.67142857142857,11.706666666666667,67.76190476190477,94.98666666666666,1.0704761904761906,0.077
31,2025-05-04 00:00:00+00:00,13.630555555555555,18.72222222222222,75.93055555555556,0.7779166666666667,19.166666666666668,33.06666666666667,98.96666666666665,2.8333333333333335,8.4,8.566666666666668,43.86666666666667,0.01,23.58095238095238,11.92,62.202380952380956,95.15,1.2785714285714287,0.077
32,2025-05-05 00:00:00+00:00,13.190277777777778,15.512500000000001,87.53055555555555,0.3025,17.066666666666666,24.2,98.93333333333334,1.1266666666666667,10.799999999999999,10.966666666666667,63.5,0.013333333333333334,17.416666666666668,12.846666666666668,80.12142857142858,97.90333333333334,0.4957142857142857,0.032
33,2025-05-06 00:00:00+00:00,12.238888888888889,14.079166666666666,89.57222222222221,0.2073611111111111,15.133333333333333,21.03333333333333,99.63333333333333,0.7866666666666667,10.533333333333333,10.6,69.13333333333334,0.006666666666666667,16.08095238095238,11.276666666666667,83.11904761904762,98.60666666666665,0.34142857142857147,0.019666666666666666
34,2025-05-07 00:00:00+00:00,11.718055555555557,13.073611111111111,91.94444444444444,0.13819444444444443,13.566666666666668,16.833333333333332,99.56666666666666,0.36999999999999994,9.466666666666667,9.566666666666666,80.43333333333332,0.0033333333333333335,14.528571428571428,11.036666666666665,87.20714285714287,98.57666666666667,0.22285714285714286,0.01966666666666667
35,2025-05-08 00:00:00+00:00,11.543055555555556,14.612499999999999,85.47361111111111,0.43277777777777776,16.033333333333335,29.03333333333333,100.0,2.1999999999999997,8.5,8.5,45.4,0.0,18.08095238095238,9.756666666666666,75.25,99.78666666666666,0.7404761904761905,0.002
36,2025-05-09 00:00:00+00:00,11.487499999999999,14.924999999999999,82.30833333333334,0.4136111111111111,15.066666666666668,27.0,100.0,1.99,9.6,9.833333333333334,49.96666666666667,0.0,17.83095238095238,10.856666666666666,72.7,95.76,0.6678571428571428,0.057666666666666665
37,2025-05-10 00:00:00+00:00,11.877777777777778,16.413888888888888,78.53055555555555,0.6295833333333334,16.599999999999998,31.133333333333336,100.0,2.686666666666667,8.966666666666667,8.966666666666667,41.699999999999996,0.0,20.680952380952384,10.440000000000001,66.12142857142858,95.90333333333334,1.0407142857142857,0.054000000000000006
38,2025-05-11 00:00:00+00:00,12.058333333333332,18.86111111111111,71.55277777777778,1.131111111111111,17.066666666666666,32.733333333333334,100.0,3.2433333333333336,6.2,6.2,34.6,0.0,25.940476190476193,8.95,52.983333333333334,97.55,1.9154761904761906,0.033
39,2025-05-12 00:00:00+00:00,12.266666666666666,17.245833333333334,76.87916666666666,0.7590277777777777,18.033333333333335,31.333333333333332,99.8,2.6566666666666667,6.733333333333333,6.733333333333333,42.1,0.0,22.188095238095237,10.326666666666666,63.31666666666667,95.86666666666666,1.256904761904762,0.062
