,receivedAt,dewpoint_mean,temperature_mean,humidity_mean,vaporPressureDeficit_mean,dewpoint_std,temperature_std,humidity_std,vaporPressureDeficit_std
0,2025-04-03 10:00:00+00:00,12.3,21.4,56.2,1.12,,,,
1,2025-04-03 11:00:00+00:00,,,,,,,,
2,2025-04-03 12:00:00+00:00,,,,,,,,
3,2025-04-03 13:00:00+00:00,,,,,,,,
4,2025-04-03 14:00:00+00:00,,,,,,,,
5,2025-04-03 15:00:00+00:00,,,,,,,,
6,2025-04-03 16:00:00+00:00,,,,,,,,
7,2025-04-03 17:00:00+00:00,,,,,,,,
8,2025-04-03 18:00:00+00:00,,,,,,,,
9,2025-04-03 19:00:00+00:00,,,,,,,,
10,2025-04-03 20:00:00+00:00,,,,,,,,
11,2025-04-03 21:00:00+00:00,,,,,,,,
12,2025-04-03 22:00:00+00:00,,,,,,,,
13,2025-04-03 23:00:00+00:00,,,,,,,,
14,2025-04-04 00:00:00+00:00,,,,,,,,
15,2025-04-04 01:00:00+00:00,,,,,,,,
16,2025-04-04 02:00:00+00:00,,,,,,,,
17,2025-04-04 03:00:00+00:00,,,,,,,,
18,2025-04-04 04:00:00+00:00,,,,,,,,
19,2025-04-04 05:00:00+00:00,,,,,,,,
20,2025-04-04 06:00:00+00:00,,,,,,,,
21,2025-04-04 07:00:00+00:00,,,,,,,,
22,2025-04-04 08:00:00+00:00,,,,,,,,
23,2025-04-04 09:00:00+00:00,,,,,,,,
24,2025-04-04 10:00:00+00:00,,,,,,,,
25,2025-04-04 11:00:00+00:00,,,,,,,,
26,2025-04-04 12:00:00+00:00,,,,,,,,
27,2025-04-04 13:00:00+00:00,,,,,,,,
28,2025-04-04 14:00:00+00:00,,,,,,,,
29,2025-04-04 15:00:00+00:00,,,,,,,,
30,2025-04-04 16:00:00+00:00,,,,,,,,
31,2025-04-04 17:00:00+00:00,,,,,,,,
32,2025-04-04 18:00:00+00:00,,,,,,,,
33,2025-04-04 19:00:00+00:00,,,,,,,,
34,2025-04-04 20:00:00+00:00,,,,,,,,
35,2025-04-04 21:00:00+00:00,,,,,,,,
36,2025-04-04 22:00:00+00:00,,,,,,,,
37,2025-04-04 23:00:00+00:00,,,,,,,,
38,2025-04-05 00:00:00+00:00,,,,,,,,
39,2025-04-05 01:00:00+00:00,,,,,,,,
40,2025-04-05 02:00:00+00:00,,,,,,,,
41,2025-04-05 03:00:00+00:00,,,,,,,,
42,2025-04-05 04:00:00+00:00,,,,,,,,
43,2025-04-05 05:00:00+00:00,,,,,,,,
44,2025-04-05 06:00:00+00:00,,,,,,,,
45,2025-04-05 07:00:00+00:00,,,,,,,,
46,2025-04-05 08:00:00+00:00,,,,,,,,
47,2025-04-05 09:00:00+00:00,,,,,,,,
48,2025-04-05 10:00:00+00:00,,,,,,,,
49,2025-04-05 11:00:00+00:00,,,,,,,,
50,2025-04-05 12:00:00+00:00,,,,,,,,
51,2025-04-05 13:00:00+00:00,,,,,,,,
52,2025-04-05 14:00:00+00:00,,,,,,,,
53,2025-04-05 15:00:00+00:00,,,,,,,,
54,2025-04-05 16:00:00+00:00,,,,,,,,
55,2025-04-05 17:00:00+00:00,,,,,,,,
56,2025-04-05 18:00:00+00:00,,,,,,,,
57,2025-04-05 19:00:00+00:00,,,,,,,,
58,2025-04-05 20:00:00+00:00,,,,,,,,
59,2025-04-05 21:00:00+00:00,,,,,,,,
60,2025-04-05 22:00:00+00:00,,,,,,,,
61,2025-04-05 23:00:00+00:00,,,,,,,,
62,2025-04-06 00:00:00+00:00,,,,,,,,
63,2025-04-06 01:00:00+00:00,,,,,,,,
64,2025-04-06 02:00:00+00:00,,,,,,,,
65,2025-04-06 03:00:00+00:00,,,,,,,,
66,2025-04-06 04:00:00+00:00,,,,,,,,
67,2025-04-06 05:00:00+00:00,,,,,,,,
68,2025-04-06 06:00:00+00:00,,,,,,,,
69,2025-04-06 07:00:00+00:00,,,,,,,,
70,2025-04-06 08:00:00+00:00,,,,,,,,
71,2025-04-06 09:00:00+00:00,,,,,,,,
72,2025-04-06 10:00:00+00:00,,,,,,,,
73,2025-04-06 11:00:00+00:00,,,,,,,,
74,2025-04-06 12:00:00+00:00,,,,,,,,
75,2025-04-06 13:00:00+00:00,,,,,,,,
76,2025-04-06 14:00:00+00:00,,,,,,,,
77,2025-04-06 15:00:00+00:00,,,,,,,,
78,2025-04-06 16:00:00+00:00,,,,,,,,
79,2025-04-06 17:00:00+00:00,,,,,,,,
80,2025-04-06 18:00:00+00:00,,,,,,,,
81,2025-04-06 19:00:00+00:00,,,,,,,,
82,2025-04-06 20:00:00+00:00,,,,,,,,
83,2025-04-06 21:00:00+00:00,,,,,,,,
84,2025-04-06 22:00:00+00:00,,,,,,,,
85,2025-04-06 23:00:00+00:00,,,,,,,,
86,2025-04-07 00:00:00+00:00,,,,,,,,
87,2025-04-07 01:00:00+00:00,,,,,,,,
88,2025-04-07 02:00:00+00:00,,,,,,,,
89,2025-04-07 03:00:00+00:00,,,,,,,,
90,2025-04-07 04:00:00+00:00,,,,,,,,
91,2025-04-07 05:00:00+00:00,,,,,,,,
92,2025-04-07 06:00:00+00:00,,,,,,,,
93,2025-04-07 07:00:00+00:00,,,,,,,,
94,2025-04-07 08:00:00+00:00,,,,,,,,
95,2025-04-07 09:00:00+00:00,,,,,,,,
96,2025-04-07 10:00:00+00:00,,,,,,,,
97,2025-04-07 11:00:00+00:00,,,,,,,,
98,2025-04-07 12:00:00+00:00,,,,,,,,
99,2025-04-07 13:00:00+00:00,,,,,,,,
100,2025-04-07 14:00:00+00:00,,,,,,,,
101,2025-04-07 15:00:00+00:00,,,,,,,,
102,2025-04-07 16:00:00+00:00,,,,,,,,
103,2025-04-07 17:00:00+00:00,,,,,,,,
104,2025-04-07 18:00:00+00:00,,,,,,,,
105,2025-04-07 19:00:00+00:00,,,,,,,,
106,2025-04-07 20:00:00+00:00,,,,,,,,
